"Status","Year","Age","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Outside London","Heterosexual / straight","40","40","21320","20980"
"In post","2023","16-19","Crown Prosecution Service","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Outside London","Heterosexual / straight","45","45","19830","19460"
"In post","2023","16-19","Defence Equipment and Support","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Outside London","Unknown","55","55","18730","18280"
"In post","2023","16-19","Defence Science and Technology Laboratory","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Undeclared","[c]","[c]","[c]","[c]"
