"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","AO","40","40","23990","24480"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","40","35","29300","28870"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","85","75","60770","62890"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","10","10","34250","32660"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO","10","10","41940","41340"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AO","30","25","23920","24480"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G7","45","40","59510","57590"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","HEO","15","15","33710","32820"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO","10","10","40780","40800"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Cheshire East","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Warrington","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G7","10","10","53870","56450"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
