"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Outside London","AA/AO","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Outside London","EO","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Outside London","SEO/HEO","SEO","10","10","47530","49860"
"In post","2023","Active Travel England","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Active Travel England","Outside London","G6/G7","G7","10","10","50970","50590"
"In post","2023","Active Travel England","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Active Travel England","Outside London","SEO/HEO","SEO","15","15","40080","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AA/AO","AO","10","10","24420","24960"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","EO","25","25","29650","29900"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6/G7","G7","20","20","61060","59400"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","HEO","65","60","38410","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","SEO","45","45","47980","48480"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","AO","35","30","21220","21210"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","EO","EO","270","250","25550","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","G6","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","G7","25","20","54860","53230"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","HEO","380","340","33230","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","SEO","115","110","42260","41130"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","EO","40","35","31620","32720"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","G7","10","10","56860","55720"
