"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Inner London - East","10","10","30150","30130"
"In post","2023","Analysis","Cabinet Office","London","Inner London - West","80","80","34590","30230"
"In post","2023","Analysis","Cabinet Office","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","West Central Scotland","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Inner London - West","195","185","69680","65800"
"In post","2023","Analysis","Chancellor's other departments","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Scotland","Eastern Scotland","15","10","70680","70000"
"In post","2023","Analysis","Chancellor's other departments","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","North West (England)","Merseyside","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Inner London - East","125","120","64110","58050"
