"Status","Year","Age","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Heterosexual / straight","40","35","23580","22520"
"In post","2023","16-19","Asian","No function","LGBO","[c]","[c]","[c]","[c]"
