"Status","Year","Profession_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Commercial","Barnet","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","110","105","23650","22390"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","80","75","26910","27080"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","280","265","59990","55730"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","30","30","103400","96910"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","625","600","38390","40590"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","125","125","43970","42620"
"In post","2023","Commercial","Bedford","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","Outside London","SEO/HEO","10","10","39310","39240"
"In post","2023","Commercial","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","G6/G7","45","45","68570","67000"
"In post","2023","Commercial","Birmingham","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","Outside London","SEO/HEO","60","55","36410","34170"
"In post","2023","Commercial","Birmingham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Blackpool","Outside London","EO","10","10","27990","28120"
"In post","2023","Commercial","Blackpool","Outside London","G6/G7","50","45","60390","56390"
"In post","2023","Commercial","Blackpool","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Blackpool","Outside London","SEO/HEO","110","105","36640","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
