"Status","Year","Region_ITL1","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Outside London","AA/AO","Female","4550","3965","23360","22220"
"In post","2023","East Midlands (England)","Outside London","AA/AO","Male","3520","3380","25580","22870"
"In post","2023","East Midlands (England)","Outside London","EO","Female","3460","3100","28050","28120"
"In post","2023","East Midlands (England)","Outside London","EO","Male","2655","2555","28820","28120"
"In post","2023","East Midlands (England)","Outside London","G6/G7","Female","950","900","59140","57100"
"In post","2023","East Midlands (England)","Outside London","G6/G7","Male","905","880","60760","57970"
"In post","2023","East Midlands (England)","Outside London","SCS level","Female","55","50","87660","81780"
"In post","2023","East Midlands (England)","Outside London","SCS level","Male","40","40","93660","91710"
"In post","2023","East Midlands (England)","Outside London","SEO/HEO","Female","3075","2895","37620","35000"
"In post","2023","East Midlands (England)","Outside London","SEO/HEO","Male","2610","2545","38090","35330"
"In post","2023","East Midlands (England)","Outside London","Unknown","Female","1395","1280","29630","29050"
"In post","2023","East Midlands (England)","Outside London","Unknown","Male","410","395","30720","29050"
"In post","2023","East of England","Outside London","AA/AO","Female","3835","3360","24290","23230"
"In post","2023","East of England","Outside London","AA/AO","Male","3440","3305","26990","25480"
"In post","2023","East of England","Outside London","EO","Female","3565","3165","29060","28120"
"In post","2023","East of England","Outside London","EO","Male","2830","2705","29720","28120"
"In post","2023","East of England","Outside London","G6/G7","Female","805","760","59950","57640"
"In post","2023","East of England","Outside London","G6/G7","Male","750","730","61140","59190"
"In post","2023","East of England","Outside London","SCS level","Female","45","45","100500","98010"
"In post","2023","East of England","Outside London","SCS level","Male","75","75","96820","95070"
"In post","2023","East of England","Outside London","SEO/HEO","Female","2535","2385","37810","37300"
"In post","2023","East of England","Outside London","SEO/HEO","Male","2570","2495","38690","37520"
"In post","2023","East of England","Outside London","Unknown","Female","1465","1330","29340","26840"
"In post","2023","East of England","Outside London","Unknown","Male","475","455","29950","26840"
"In post","2023","London","London","AA/AO","Female","6650","5945","26740","26400"
"In post","2023","London","London","AA/AO","Male","5155","4995","28330","26400"
"In post","2023","London","London","EO","Female","11685","10855","31300","31230"
"In post","2023","London","London","EO","Male","8120","7890","31660","31340"
"In post","2023","London","London","G6/G7","Female","15425","14700","61790","59530"
"In post","2023","London","London","G6/G7","Male","14545","14320","62910","61230"
"In post","2023","London","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","London","London","SCS level","Female","2195","2075","90040","81780"
"In post","2023","London","London","SCS level","Male","2220","2185","95210","85640"
"In post","2023","London","London","SEO/HEO","Female","18975","18400","39910","39790"
"In post","2023","London","London","SEO/HEO","Male","16305","16085","40610","40390"
"In post","2023","London","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","London","London","Unknown","Female","1775","1670","35030","33050"
"In post","2023","London","London","Unknown","Male","685","660","35850","33050"
"In post","2023","North East (England)","Outside London","AA/AO","Female","7865","6445","22780","22520"
"In post","2023","North East (England)","Outside London","AA/AO","Male","5100","4780","23960","22520"
"In post","2023","North East (England)","Outside London","EO","Female","5050","4475","27910","28120"
"In post","2023","North East (England)","Outside London","EO","Male","3415","3270","28330","28120"
"In post","2023","North East (England)","Outside London","G6/G7","Female","1415","1350","57670","56870"
"In post","2023","North East (England)","Outside London","G6/G7","Male","1695","1665","58710","57970"
"In post","2023","North East (England)","Outside London","SCS level","Female","80","75","87040","78750"
"In post","2023","North East (England)","Outside London","SCS level","Male","75","70","94340","85620"
"In post","2023","North East (England)","Outside London","SEO/HEO","Female","4435","4170","36780","35000"
"In post","2023","North East (England)","Outside London","SEO/HEO","Male","3820","3720","37370","35000"
"In post","2023","North East (England)","Outside London","Unknown","Female","1005","940","29690","29050"
"In post","2023","North East (England)","Outside London","Unknown","Male","310","295","30790","29050"
"In post","2023","North West (England)","Outside London","AA/AO","Female","12210","10490","22730","22400"
"In post","2023","North West (England)","Outside London","AA/AO","Male","8650","8255","23850","22400"
"In post","2023","North West (England)","Outside London","EO","Female","11110","9975","27810","28120"
"In post","2023","North West (England)","Outside London","EO","Male","7855","7580","28260","28120"
"In post","2023","North West (England)","Outside London","G6/G7","Female","3195","3055","58020","56470"
"In post","2023","North West (England)","Outside London","G6/G7","Male","3190","3125","59490","57970"
"In post","2023","North West (England)","Outside London","SCS level","Female","165","160","88960","81120"
"In post","2023","North West (England)","Outside London","SCS level","Male","160","160","92930","85740"
"In post","2023","North West (England)","Outside London","SEO/HEO","Female","8985","8515","36800","35000"
"In post","2023","North West (England)","Outside London","SEO/HEO","Male","7770","7595","37530","35000"
"In post","2023","North West (England)","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","North West (England)","Outside London","Unknown","Female","2805","2645","29640","26840"
