"Status","Year","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","AA/AO","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Scotland","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","G6/G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","SEO/HEO","35","35","40580","38330"
"In post","2023","Active Travel England","London","G6/G7","5","5","[c]","[c]"
"In post","2023","Active Travel England","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","G6/G7","15","15","57090","52360"
"In post","2023","Active Travel England","Yorkshire and The Humber","SCS level","5","5","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","SEO/HEO","20","20","38240","39430"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","50","45","34780","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","30","25","35900","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","AA/AO","10","10","24420","24960"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","EO","25","25","29650","29900"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","G6/G7","25","25","63110","61570"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","110","105","42380","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","EO","55","50","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","SEO/HEO","75","70","34680","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","EO","55","55","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","SEO/HEO","80","75","35460","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","EO","30","30","25530","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","SEO/HEO","60","50","35420","32830"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","SEO/HEO","20","20","38130","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","SEO/HEO","35","30","35560","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","EO","30","30","25630","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","SEO/HEO","50","45","34880","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","20","20","25590","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO/HEO","50","50","35760","34150"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","20","20","25650","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO/HEO","45","40","35310","33940"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","EO","25","25","26120","25920"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","G6/G7","15","15","53090","50720"
"In post","2023","Animal and Plant Health Agency","East Midlands (England)","SEO/HEO","35","35","34380","32600"
"In post","2023","Animal and Plant Health Agency","East of England","AA/AO","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","EO","40","40","27280","26850"
"In post","2023","Animal and Plant Health Agency","East of England","G6/G7","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","East of England","SEO/HEO","90","85","35500","35060"
"In post","2023","Animal and Plant Health Agency","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","London","EO","40","35","31620","32720"
"In post","2023","Animal and Plant Health Agency","London","G6/G7","15","15","58770","57070"
"In post","2023","Animal and Plant Health Agency","London","SEO/HEO","30","30","38660","38060"
"In post","2023","Animal and Plant Health Agency","North East (England)","AA/AO","15","10","22150","22150"
"In post","2023","Animal and Plant Health Agency","North East (England)","EO","15","10","26510","26280"
"In post","2023","Animal and Plant Health Agency","North East (England)","G6/G7","10","10","52420","49400"
"In post","2023","Animal and Plant Health Agency","North East (England)","SEO/HEO","20","20","35960","33150"
"In post","2023","Animal and Plant Health Agency","North West (England)","AA/AO","155","145","22270","22150"
"In post","2023","Animal and Plant Health Agency","North West (England)","EO","80","75","26450","25920"
"In post","2023","Animal and Plant Health Agency","North West (England)","G6/G7","20","20","54360","51470"
"In post","2023","Animal and Plant Health Agency","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","North West (England)","SEO/HEO","70","65","34810","32260"
"In post","2023","Animal and Plant Health Agency","Scotland","AA/AO","45","40","22220","22150"
"In post","2023","Animal and Plant Health Agency","Scotland","EO","35","35","26380","25920"
"In post","2023","Animal and Plant Health Agency","Scotland","G6/G7","20","20","53510","49400"
"In post","2023","Animal and Plant Health Agency","Scotland","SEO/HEO","50","50","36200","37300"
"In post","2023","Animal and Plant Health Agency","South East (England)","AA/AO","190","180","25250","25340"
"In post","2023","Animal and Plant Health Agency","South East (England)","EO","220","210","28760","29080"
"In post","2023","Animal and Plant Health Agency","South East (England)","G6/G7","70","70","57740","54950"
"In post","2023","Animal and Plant Health Agency","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South East (England)","SEO/HEO","300","290","36850","34750"
"In post","2023","Animal and Plant Health Agency","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","AA/AO","185","175","22170","22150"
"In post","2023","Animal and Plant Health Agency","South West (England)","EO","125","120","26170","25920"
"In post","2023","Animal and Plant Health Agency","South West (England)","G6/G7","40","35","54250","53850"
"In post","2023","Animal and Plant Health Agency","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","South West (England)","SEO/HEO","135","130","35550","37300"
"In post","2023","Animal and Plant Health Agency","Wales","AA/AO","135","125","22140","22150"
"In post","2023","Animal and Plant Health Agency","Wales","EO","75","70","26210","25920"
"In post","2023","Animal and Plant Health Agency","Wales","G6/G7","25","25","54570","52300"
"In post","2023","Animal and Plant Health Agency","Wales","SEO/HEO","100","95","35100","37300"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","AA/AO","100","90","22210","22150"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","EO","75","75","26210","25920"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","G6/G7","25","25","53160","51210"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","SEO/HEO","110","105","35060","37300"
"In post","2023","Animal and Plant Health Agency","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","AA/AO","100","100","23430","22150"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","EO","100","95","26550","25920"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","G6/G7","25","25","53360","51290"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","SEO/HEO","80","80","33810","31070"
"In post","2023","Animal and Plant Health Agency","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","London","G6/G7","20","20","64530","66620"
"In post","2023","Attorney General's Office","London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","London","SEO/HEO","15","15","37870","38330"
"In post","2023","Building Digital UK","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","London","EO","15","15","27780","27230"
"In post","2023","Building Digital UK","London","G6/G7","70","70","57500","55770"
"In post","2023","Building Digital UK","London","SCS level","10","10","[c]","[c]"
"In post","2023","Building Digital UK","London","SEO/HEO","45","45","36390","35620"
"In post","2023","Building Digital UK","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Building Digital UK","North West (England)","EO","10","10","[c]","[c]"
"In post","2023","Building Digital UK","North West (England)","G6/G7","30","30","54450","53030"
"In post","2023","Building Digital UK","North West (England)","SEO/HEO","25","25","33800","31880"
"In post","2023","Building Digital UK","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Northern Ireland","SEO/HEO","5","5","[c]","[c]"
