"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Statistics","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Statistics","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","Female","30","25","21480","21520"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","Female","160","145","25880","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","Male","110","105","25670","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6/G7","Female","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","Female","305","275","35330","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","Male","205","190","36240","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AA/AO","Female","500","455","22560","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","AA/AO","Male","275","270","22750","22150"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","EO","Female","375","355","26890","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","EO","Male","270","260","27180","25920"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G6/G7","Female","55","55","54510","54280"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","G6/G7","Male","45","45","54330","51470"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","Female","320","300","34000","32490"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","Male","255","250","34550","33830"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Operational Delivery","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Other","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Project Delivery","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AA/AO","Female","105","95","24460","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","AA/AO","Male","60","60","24670","25340"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","EO","Female","100","90","28540","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","EO","Male","50","50","28750","29080"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","G6/G7","Male","30","30","56100","54840"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","Female","130","125","35770","33960"
"In post","2023","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","Male","75","75","36620","35150"
"In post","2023","Animal and Plant Health Agency","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","EO","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","EO","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G6/G7","Female","55","55","53500","54170"
"In post","2023","Animal and Plant Health Agency","Veterinarian","G6/G7","Male","45","45","56740","55820"
"In post","2023","Animal and Plant Health Agency","Veterinarian","SEO/HEO","Female","115","105","39450","37710"
"In post","2023","Animal and Plant Health Agency","Veterinarian","SEO/HEO","Male","80","75","40310","38200"
"In post","2023","Attorney General's Office","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Communications","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Digital, Data and Technology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Legal","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Operational Delivery","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Other","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Policy","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Counter Fraud","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Human Resources","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Operational Research","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Other","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Other","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Other","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Other","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","EO","Female","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","EO","Male","5","5","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","G6/G7","Female","35","35","55360","53180"
"In post","2023","Building Digital UK","Project Delivery","G6/G7","Male","35","35","55110","53030"
"In post","2023","Building Digital UK","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Building Digital UK","Project Delivery","SEO/HEO","Male","15","15","[c]","[c]"
