"Status","Year","Function_of_post","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Westminster","15","15","46800","39040"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Westminster","15","15","51180","48830"
"In post","2023","Analysis","Central Civil Service Fast Stream","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Bristol, City of","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
