"Status","Year","Ethnicity","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","London","30","30","50530","46970"
"In post","2023","Asian","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","London","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","London","30","30","50050","55370"
"In post","2023","Asian","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","London","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
