"Status","Year","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","AA/AO","8075","7345","24330","22520"
"In post","2023","East Midlands (England)","EO","6115","5650","28380","28120"
"In post","2023","East Midlands (England)","G6/G7","1855","1775","59930","57970"
"In post","2023","East Midlands (England)","SCS level","95","90","90290","83870"
"In post","2023","East Midlands (England)","SEO/HEO","5685","5440","37830","35000"
"In post","2023","East Midlands (England)","Unknown","1810","1675","29880","29050"
"In post","2023","East of England","AA/AO","7275","6665","25570","23390"
"In post","2023","East of England","EO","6395","5870","29350","28120"
"In post","2023","East of England","G6/G7","1555","1490","60530","58100"
"In post","2023","East of England","SCS level","120","115","98240","96060"
"In post","2023","East of England","SEO/HEO","5105","4880","38250","37310"
"In post","2023","East of England","Unknown","1940","1785","29490","26840"
"In post","2023","London","AA/AO","11805","10940","27430","26400"
"In post","2023","London","EO","19805","18745","31450","31310"
"In post","2023","London","G6/G7","29970","29025","62330","60220"
"In post","2023","London","SCS level","4415","4260","92640","83520"
"In post","2023","London","SEO/HEO","35280","34485","40240","40000"
"In post","2023","London","Unknown","2460","2335","35250","33050"
"In post","2023","North East (England)","AA/AO","12965","11225","23240","22520"
"In post","2023","North East (England)","EO","8470","7745","28080","28120"
"In post","2023","North East (England)","G6/G7","3105","3015","58230","56870"
"In post","2023","North East (England)","SCS level","155","150","90520","80300"
"In post","2023","North East (England)","SEO/HEO","8250","7890","37050","35000"
"In post","2023","North East (England)","Unknown","1315","1235","29950","29050"
"In post","2023","North West (England)","AA/AO","20865","18745","23200","22400"
"In post","2023","North West (England)","EO","18965","17555","28000","28120"
"In post","2023","North West (England)","G6/G7","6385","6180","58750","56870"
"In post","2023","North West (England)","SCS level","325","320","90920","83000"
"In post","2023","North West (England)","SEO/HEO","16760","16110","37140","35000"
"In post","2023","North West (England)","Unknown","3815","3610","30360","26840"
"In post","2023","Northern Ireland","AA/AO","1720","1600","22350","22520"
"In post","2023","Northern Ireland","EO","1170","1120","28040","27890"
"In post","2023","Northern Ireland","G6/G7","355","340","59740","57970"
"In post","2023","Northern Ireland","SCS level","15","10","81050","78250"
"In post","2023","Northern Ireland","SEO/HEO","1285","1245","37080","35000"
"In post","2023","Overseas","AA/AO","50","50","29640","26650"
"In post","2023","Overseas","EO","200","200","34890","33510"
