"Status","Year","Disability","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","East Midlands (England)","AA","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","AO","100","85","22640","21780"
"In post","2023","Declared disabled","Asian","East Midlands (England)","EO","75","65","27870","28120"
"In post","2023","Declared disabled","Asian","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","HEO","35","30","33940","34700"
"In post","2023","Declared disabled","Asian","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Midlands (England)","Unknown","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","AO","35","30","24190","22610"
"In post","2023","Declared disabled","Asian","East of England","EO","70","60","29590","30120"
"In post","2023","Declared disabled","Asian","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","SEO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East of England","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","AA","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","AO","235","210","26230","25610"
"In post","2023","Declared disabled","Asian","London","EO","500","450","31480","32520"
"In post","2023","Declared disabled","Asian","London","G6","55","55","70490","70020"
"In post","2023","Declared disabled","Asian","London","G7","165","160","59020","57790"
"In post","2023","Declared disabled","Asian","London","HEO","315","305","36740","36310"
"In post","2023","Declared disabled","Asian","London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","London","SEO","200","195","44410","43750"
