"Status","Year","Organisation","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Outside London","SEO","10","10","48060","49860"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","G7","10","10","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Outside London","SEO","15","15","39860","39430"
"In post","2023","Active Travel England","Surrey, East and West Sussex","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","HEO","40","35","32820","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","SEO","10","10","41830","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","EO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","HEO","20","20","33370","33680"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","SEO","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","EO","30","30","25600","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","HEO","40","35","32840","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","SEO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Essex","Outside London","HEO","[c]","[c]","[c]","[c]"
