"Status","Year","Ethnicity","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Outside London","Female","1175","1030","29360","27890"
"In post","2023","Asian","East Midlands (England)","Outside London","Male","900","865","30160","28120"
"In post","2023","Asian","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Outside London","Female","745","655","31280","28120"
"In post","2023","Asian","East of England","Outside London","Male","490","465","34170","30880"
"In post","2023","Asian","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","London","Female","8970","8315","39500","34770"
"In post","2023","Asian","London","London","Male","6085","5960","40850","36030"
"In post","2023","Asian","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Outside London","Female","350","320","29870","27890"
"In post","2023","Asian","North East (England)","Outside London","Male","335","320","32490","28120"
"In post","2023","Asian","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Outside London","Female","1550","1375","29700","27890"
"In post","2023","Asian","North West (England)","Outside London","Male","1915","1855","31010","28120"
"In post","2023","Asian","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Overseas","Female","75","75","49800","51510"
"In post","2023","Asian","Overseas","Overseas","Male","95","95","53490","55030"
"In post","2023","Asian","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Outside London","Female","445","405","32330","28120"
"In post","2023","Asian","Scotland","Outside London","Male","355","345","35850","30440"
"In post","2023","Asian","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","South East (England)","Outside London","Female","890","805","31510","29080"
"In post","2023","Asian","South East (England)","Outside London","Male","685","655","33470","30140"
"In post","2023","Asian","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","South West (England)","Outside London","Female","460","425","35090","31920"
"In post","2023","Asian","South West (England)","Outside London","Male","490","475","37550","34500"
"In post","2023","Asian","South West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Unknown","Female","35","30","32790","28050"
"In post","2023","Asian","Unknown","Unknown","Male","35","35","34930","28120"
"In post","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Wales","Outside London","Female","310","285","32180","28120"
"In post","2023","Asian","Wales","Outside London","Male","335","320","34280","28130"
"In post","2023","Asian","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","West Midlands (England)","Outside London","Female","2995","2715","29750","28120"
"In post","2023","Asian","West Midlands (England)","Outside London","Male","2375","2305","31210","28120"
"In post","2023","Asian","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Yorkshire and The Humber","Outside London","Female","1600","1415","29620","28120"
"In post","2023","Asian","Yorkshire and The Humber","Outside London","Male","1645","1595","31350","28120"
"In post","2023","Asian","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","East Midlands (England)","Outside London","Female","400","370","28770","27890"
"In post","2023","Black","East Midlands (England)","Outside London","Male","260","255","30590","28120"
"In post","2023","Black","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","East of England","Outside London","Female","385","360","31480","29570"
"In post","2023","Black","East of England","Outside London","Male","235","230","34020","31270"
"In post","2023","Black","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","London","London","Female","6905","6585","36860","32520"
"In post","2023","Black","London","London","Male","3405","3345","37930","34060"
"In post","2023","Black","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","North East (England)","Outside London","Female","110","105","29810","28120"
"In post","2023","Black","North East (England)","Outside London","Male","100","95","33230","28130"
"In post","2023","Black","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","North West (England)","Outside London","Female","535","510","30630","28120"
"In post","2023","Black","North West (England)","Outside London","Male","480","470","32210","28130"
"In post","2023","Black","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","Overseas","Female","35","35","45570","40240"
"In post","2023","Black","Overseas","Overseas","Male","30","30","51530","53500"
"In post","2023","Black","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Scotland","Outside London","Female","200","185","30790","28120"
"In post","2023","Black","Scotland","Outside London","Male","170","165","35360","29100"
"In post","2023","Black","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","South East (England)","Outside London","Female","540","505","31460","30000"
"In post","2023","Black","South East (England)","Outside London","Male","440","430","32880","31280"
"In post","2023","Black","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","South West (England)","Outside London","Female","290","275","33890","31920"
"In post","2023","Black","South West (England)","Outside London","Male","295","290","35230","34170"
"In post","2023","Black","South West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Wales","Outside London","Female","135","125","30920","28120"
"In post","2023","Black","Wales","Outside London","Male","125","125","33360","29050"
"In post","2023","Black","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","West Midlands (England)","Outside London","Female","965","890","29930","28120"
"In post","2023","Black","West Midlands (England)","Outside London","Male","505","495","32140","28130"
"In post","2023","Black","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Yorkshire and The Humber","Outside London","Female","370","350","31410","28120"
"In post","2023","Black","Yorkshire and The Humber","Outside London","Male","320","315","31590","28130"
"In post","2023","Black","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","East Midlands (England)","Outside London","Female","275","250","29850","28080"
"In post","2023","Mixed","East Midlands (England)","Outside London","Male","175","170","34040","28880"
"In post","2023","Mixed","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","East of England","Outside London","Female","260","245","32270","30810"
"In post","2023","Mixed","East of England","Outside London","Male","190","185","36270","31280"
"In post","2023","Mixed","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","London","London","Female","2175","2075","42930","38680"
"In post","2023","Mixed","London","London","Male","1435","1415","44550","39700"
"In post","2023","Mixed","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","North East (England)","Outside London","Female","175","160","31160","28120"
"In post","2023","Mixed","North East (England)","Outside London","Male","125","120","32450","28120"
"In post","2023","Mixed","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","North West (England)","Outside London","Female","620","580","31150","28120"
"In post","2023","Mixed","North West (England)","Outside London","Male","400","385","33440","28130"
"In post","2023","Mixed","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Northern Ireland","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Mixed","Northern Ireland","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Mixed","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Overseas","Overseas","Female","65","65","46970","41880"
"In post","2023","Mixed","Overseas","Overseas","Male","65","65","52430","51280"
"In post","2023","Mixed","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Scotland","Outside London","Female","210","195","36430","29450"
"In post","2023","Mixed","Scotland","Outside London","Male","160","160","37370","34000"
"In post","2023","Mixed","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","South East (England)","Outside London","Female","450","420","32200","29170"
"In post","2023","Mixed","South East (England)","Outside London","Male","375","360","35630","31300"
"In post","2023","Mixed","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","South West (England)","Outside London","Female","375","340","34430","31590"
"In post","2023","Mixed","South West (England)","Outside London","Male","350","340","36970","33430"
"In post","2023","Mixed","South West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Wales","Outside London","Female","280","260","32130","28120"
"In post","2023","Mixed","Wales","Outside London","Male","185","180","34740","31090"
"In post","2023","Mixed","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","West Midlands (England)","Outside London","Female","460","425","30960","28120"
"In post","2023","Mixed","West Midlands (England)","Outside London","Male","235","230","33320","28880"
"In post","2023","Mixed","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Yorkshire and The Humber","Outside London","Female","360","335","32650","28120"
"In post","2023","Mixed","Yorkshire and The Humber","Outside London","Male","275","265","34440","31510"
"In post","2023","Mixed","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","East Midlands (England)","Outside London","Female","45","40","31880","28120"
"In post","2023","Other ethnicity","East Midlands (England)","Outside London","Male","35","30","31480","31900"
"In post","2023","Other ethnicity","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","East of England","Outside London","Female","65","60","31730","30850"
