"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","AA/AO","AA","Female","15","15","[c]","[c]"
"In post","2023","Analysis","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2023","Analysis","AA/AO","AO","Female","110","100","22950","22500"
"In post","2023","Analysis","AA/AO","AO","Male","100","100","23040","23200"
"In post","2023","Analysis","EO","EO","Female","460","430","27690","27400"
"In post","2023","Analysis","EO","EO","Male","450","440","27870","27650"
"In post","2023","Analysis","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","G6/G7","G6","Female","340","310","71760","69300"
"In post","2023","Analysis","G6/G7","G6","Male","475","460","73940","70550"
"In post","2023","Analysis","G6/G7","G7","Female","1120","1040","56030","55500"
"In post","2023","Analysis","G6/G7","G7","Male","1565","1525","55880","55370"
"In post","2023","Analysis","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","SCS level","SCS level","Female","90","85","85390","81310"
"In post","2023","Analysis","SCS level","SCS level","Male","125","125","91950","83250"
"In post","2023","Analysis","SEO/HEO","HEO","Female","1380","1335","33760","33610"
"In post","2023","Analysis","SEO/HEO","HEO","Male","1555","1540","34080","34170"
"In post","2023","Analysis","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","SEO/HEO","SEO","Female","1240","1170","41570","41050"
"In post","2023","Analysis","SEO/HEO","SEO","Male","1280","1260","41720","41050"
"In post","2023","Analysis","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2023","Commercial","AA/AO","AA","Male","20","20","[c]","[c]"
"In post","2023","Commercial","AA/AO","AO","Female","190","175","23690","22500"
"In post","2023","Commercial","AA/AO","AO","Male","140","135","23900","22500"
"In post","2023","Commercial","EO","EO","Female","445","415","27760","27140"
"In post","2023","Commercial","EO","EO","Male","300","295","27710","27140"
"In post","2023","Commercial","G6/G7","G6","Female","320","315","72640","70710"
"In post","2023","Commercial","G6/G7","G6","Male","395","390","75010","71800"
"In post","2023","Commercial","G6/G7","G7","Female","805","775","57900","56000"
"In post","2023","Commercial","G6/G7","G7","Male","860","855","59550","56200"
"In post","2023","Commercial","SCS level","SCS level","Female","115","110","109100","102500"
"In post","2023","Commercial","SCS level","SCS level","Male","180","180","119210","117800"
"In post","2023","Commercial","SEO/HEO","HEO","Female","855","815","33450","33760"
"In post","2023","Commercial","SEO/HEO","HEO","Male","625","620","33710","33830"
"In post","2023","Commercial","SEO/HEO","SEO","Female","1030","985","41540","41800"
"In post","2023","Commercial","SEO/HEO","SEO","Male","825","815","42260","42210"
"In post","2023","Commercial","Unknown","Unknown","Female","80","80","39380","35930"
"In post","2023","Commercial","Unknown","Unknown","Male","85","85","46360","43400"
"In post","2023","Communications","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","AA/AO","AO","Female","105","95","23060","22430"
"In post","2023","Communications","AA/AO","AO","Male","65","65","23700","22500"
"In post","2023","Communications","EO","EO","Female","310","290","28740","28220"
"In post","2023","Communications","EO","EO","Male","210","205","28800","28340"
"In post","2023","Communications","G6/G7","G6","Female","170","160","68740","67890"
"In post","2023","Communications","G6/G7","G6","Male","120","120","70350","70570"
"In post","2023","Communications","G6/G7","G7","Female","495","475","56640","56340"
"In post","2023","Communications","G6/G7","G7","Male","290","290","56030","55790"
"In post","2023","Communications","SCS level","SCS level","Female","65","65","88920","82710"
"In post","2023","Communications","SCS level","SCS level","Male","70","70","94090","86260"
"In post","2023","Communications","SEO/HEO","HEO","Female","650","620","35160","34670"
"In post","2023","Communications","SEO/HEO","HEO","Male","430","425","35410","34770"
"In post","2023","Communications","SEO/HEO","SEO","Female","705","670","42560","42000"
"In post","2023","Communications","SEO/HEO","SEO","Male","445","440","43240","42840"
"In post","2023","Communications","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","Female","10","5","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","AA/AO","AO","Female","1440","1185","23210","22520"
"In post","2023","Counter Fraud","AA/AO","AO","Male","825","780","23160","22520"
"In post","2023","Counter Fraud","EO","EO","Female","4220","3790","29140","28120"
"In post","2023","Counter Fraud","EO","EO","Male","3215","3070","29170","28130"
"In post","2023","Counter Fraud","G6/G7","G6","Female","100","90","71820","71300"
"In post","2023","Counter Fraud","G6/G7","G6","Male","220","210","72190","71300"
"In post","2023","Counter Fraud","G6/G7","G7","Female","385","365","58530","57970"
"In post","2023","Counter Fraud","G6/G7","G7","Male","585","565","59010","57970"
"In post","2023","Counter Fraud","SCS level","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Counter Fraud","SCS level","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Female","2175","2035","35820","35000"
"In post","2023","Counter Fraud","SEO/HEO","HEO","Male","2230","2170","36050","35000"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Female","775","740","42720","42510"
"In post","2023","Counter Fraud","SEO/HEO","SEO","Male","905","875","43240","42510"
"In post","2023","Debt","AA/AO","AA","Female","15","10","[c]","[c]"
"In post","2023","Debt","AA/AO","AA","Male","20","15","[c]","[c]"
"In post","2023","Debt","AA/AO","AO","Female","3600","3070","22620","22520"
"In post","2023","Debt","AA/AO","AO","Male","2300","2200","22590","22520"
"In post","2023","Debt","EO","EO","Female","790","700","28820","28130"
"In post","2023","Debt","EO","EO","Male","585","560","28840","28130"
"In post","2023","Debt","G6/G7","G6","Female","10","10","[c]","[c]"
"In post","2023","Debt","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","G6/G7","G7","Female","20","20","[c]","[c]"
"In post","2023","Debt","G6/G7","G7","Male","15","15","[c]","[c]"
"In post","2023","Debt","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Debt","SEO/HEO","HEO","Female","190","170","35230","34700"
"In post","2023","Debt","SEO/HEO","HEO","Male","115","110","35280","34700"
"In post","2023","Debt","SEO/HEO","SEO","Female","55","50","42170","42140"
"In post","2023","Debt","SEO/HEO","SEO","Male","40","40","43650","42510"
"In post","2023","Digital, Data & Technology","AA/AO","AA","Female","20","20","[c]","[c]"
"In post","2023","Digital, Data & Technology","AA/AO","AA","Male","45","45","20810","21380"
"In post","2023","Digital, Data & Technology","AA/AO","AO","Female","365","340","22880","22220"
"In post","2023","Digital, Data & Technology","AA/AO","AO","Male","455","450","22990","22220"
"In post","2023","Digital, Data & Technology","EO","EO","Female","1535","1430","28280","28120"
"In post","2023","Digital, Data & Technology","EO","EO","Male","2455","2390","28640","28120"
"In post","2023","Digital, Data & Technology","G6/G7","G6","Female","640","620","68100","66860"
"In post","2023","Digital, Data & Technology","G6/G7","G6","Male","1235","1220","69880","68730"
"In post","2023","Digital, Data & Technology","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","G6/G7","G7","Female","2060","1980","54980","54870"
"In post","2023","Digital, Data & Technology","G6/G7","G7","Male","3760","3715","56500","56200"
"In post","2023","Digital, Data & Technology","SCS level","SCS level","Female","135","135","92610","85000"
"In post","2023","Digital, Data & Technology","SCS level","SCS level","Male","260","255","98670","92930"
"In post","2023","Digital, Data & Technology","SEO/HEO","HEO","Female","2480","2365","34420","34300"
"In post","2023","Digital, Data & Technology","SEO/HEO","HEO","Male","3840","3780","34930","34400"
"In post","2023","Digital, Data & Technology","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data & Technology","SEO/HEO","SEO","Female","2535","2430","41430","41440"
"In post","2023","Digital, Data & Technology","SEO/HEO","SEO","Male","4425","4355","42630","42050"
"In post","2023","Digital, Data & Technology","Unknown","Unknown","Female","30","30","35760","32500"
"In post","2023","Digital, Data & Technology","Unknown","Unknown","Male","70","70","37320","38290"
"In post","2023","Finance","AA/AO","AA","Female","45","35","21880","22520"
"In post","2023","Finance","AA/AO","AA","Male","30","25","22070","22520"
"In post","2023","Finance","AA/AO","AO","Female","1230","1010","22920","22520"
"In post","2023","Finance","AA/AO","AO","Male","650","615","22880","22520"
"In post","2023","Finance","EO","EO","Female","1285","1190","28340","27890"
"In post","2023","Finance","EO","EO","Male","740","730","28420","28120"
"In post","2023","Finance","G6/G7","G6","Female","410","390","69120","69140"
"In post","2023","Finance","G6/G7","G6","Male","460","455","70820","70880"
"In post","2023","Finance","G6/G7","G7","Female","1025","985","55780","55500"
"In post","2023","Finance","G6/G7","G7","Male","1040","1025","56640","56180"
"In post","2023","Finance","SCS level","SCS level","Female","145","140","87890","82040"
"In post","2023","Finance","SCS level","SCS level","Male","190","190","93510","83790"
"In post","2023","Finance","SEO/HEO","HEO","Female","1555","1465","34770","34300"
"In post","2023","Finance","SEO/HEO","HEO","Male","1205","1185","35010","34350"
"In post","2023","Finance","SEO/HEO","SEO","Female","1470","1400","42280","41800"
"In post","2023","Finance","SEO/HEO","SEO","Male","1335","1305","42770","42310"
"In post","2023","Finance","Unknown","Unknown","Female","25","25","[c]","[c]"
"In post","2023","Finance","Unknown","Unknown","Male","35","35","56160","49410"
"In post","2023","Grants Management","AA/AO","AO","Female","805","695","22120","22150"
"In post","2023","Grants Management","AA/AO","AO","Male","615","600","22140","22150"
"In post","2023","Grants Management","EO","EO","Female","400","360","26080","25920"
"In post","2023","Grants Management","EO","EO","Male","255","245","26140","25920"
"In post","2023","Grants Management","G6/G7","G6","Female","10","10","[c]","[c]"
"In post","2023","Grants Management","G6/G7","G6","Male","15","15","[c]","[c]"
"In post","2023","Grants Management","G6/G7","G7","Female","45","45","52510","49970"
"In post","2023","Grants Management","G6/G7","G7","Male","30","30","52400","50360"
"In post","2023","Grants Management","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Grants Management","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Grants Management","SEO/HEO","HEO","Female","165","150","30890","30320"
"In post","2023","Grants Management","SEO/HEO","HEO","Male","115","110","31250","30930"
"In post","2023","Grants Management","SEO/HEO","SEO","Female","80","75","38610","37310"
"In post","2023","Grants Management","SEO/HEO","SEO","Male","70","70","38810","37980"
"In post","2023","Human Resources","AA/AO","AA","Female","55","50","21360","21380"
"In post","2023","Human Resources","AA/AO","AA","Male","25","25","[c]","[c]"
"In post","2023","Human Resources","AA/AO","AO","Female","835","760","22750","22220"
"In post","2023","Human Resources","AA/AO","AO","Male","330","320","22730","22220"
"In post","2023","Human Resources","EO","EO","Female","1935","1795","28120","28090"
