"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Operational Delivery","AA/AO","10","10","22970","22150"
"In post","2023","16-19","Animal and Plant Health Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","EO","10","10","25160","24470"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","AA/AO","50","50","20980","20980"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Science and Engineering","AA/AO","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Finance","AA/AO","15","15","19540","19460"
"In post","2023","16-19","Defence Equipment and Support","Operational Delivery","AA/AO","20","20","19170","18780"
"In post","2023","16-19","Defence Equipment and Support","Other","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Science and Engineering","AA/AO","50","50","18680","18280"
"In post","2023","16-19","Defence Equipment and Support","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Other","AA/AO","[c]","[c]","[c]","[c]"
