"Status","Year","Parent_department","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Westminster","London","15","15","37970","37510"
"In post","2023","Attorney General's Departments","Commercial","York","Outside London","10","10","43620","38940"
"In post","2023","Attorney General's Departments","Communications","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Westminster","London","65","65","43150","40540"
"In post","2023","Attorney General's Departments","Communications","York","Outside London","[c]","[c]","[c]","[c]"
