"Status","Year","Function_of_post","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Westminster","London","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Glasgow City","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Tower Hamlets","London","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Westminster","London","80","80","34590","30230"
"In post","2023","Analysis","Cabinet Office","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Camden and City of London","London","170","160","72380","67430"
"In post","2023","Analysis","Chancellor's other departments","City of Edinburgh","Outside London","15","10","70680","70000"
"In post","2023","Analysis","Chancellor's other departments","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Westminster","London","25","25","50420","49180"
"In post","2023","Analysis","Charity Commission","Sefton","Outside London","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","City of Edinburgh","Outside London","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Tower Hamlets","London","125","120","64110","58050"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Outside London","10","10","36180","36340"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","Outside London","20","20","35200","31120"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","Outside London","50","45","38820","33960"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","London","200","200","44290","36720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Manchester","Outside London","15","15","44440","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Westminster","London","120","120","51290","56760"
"In post","2023","Analysis","Department for Education","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Bristol, City of","Outside London","50","50","42410","43250"
"In post","2023","Analysis","Department for Education","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Coventry","Outside London","30","30","43130","41510"
"In post","2023","Analysis","Department for Education","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","Darlington","Outside London","45","45","44200","43490"
"In post","2023","Analysis","Department for Education","Leeds","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education","Manchester","Outside London","65","65","39800","40730"
"In post","2023","Analysis","Department for Education","Nottingham","Outside London","20","15","46720","43250"
"In post","2023","Analysis","Department for Education","Sheffield","Outside London","145","140","45680","43690"
