"Status","Year","Disability","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scottish Government","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Planning","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","170","155","32660","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
