"Status","Year","Age","Disability","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Highlands and Islands","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - West","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lancashire","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lancashire","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Merseyside","Wirral","[c]","[c]","[c]","[c]"
