"Status","Year","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","London","Westminster","10","10","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Leeds","10","10","66550","62060"
"In post","2023","Active Travel England","Yorkshire and The Humber","York","30","30","47030","40560"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","40","35","34880","34950"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Wandsworth","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Westminster","165","160","44000","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","140","125","31290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","145","130","32130","32110"
