"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","HEO","120","120","31310","30130"
"In post","2023","Analysis","Cabinet Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","EO","EO","20","20","29680","30090"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","G6","105","95","92690","85830"
"In post","2023","Analysis","Chancellor's other departments","G6/G7","G7","25","25","57050","58970"
"In post","2023","Analysis","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","SEO/HEO","HEO","30","30","36920","36740"
"In post","2023","Analysis","Chancellor's other departments","SEO/HEO","SEO","30","30","48410","47000"
"In post","2023","Analysis","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","SEO/HEO","HEO","10","10","30170","30170"
"In post","2023","Analysis","Charity Commission","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","G6","35","35","77610","76720"
"In post","2023","Analysis","Competition and Markets Authority","G6/G7","G7","55","50","57900","55950"
"In post","2023","Analysis","Competition and Markets Authority","SCS level","SCS level","15","15","110580","101830"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","HEO","25","25","34870","34110"
"In post","2023","Analysis","Competition and Markets Authority","SEO/HEO","SEO","10","10","45810","45190"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","AO","10","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","EO","EO","60","60","27680","28510"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","G6","20","20","71260","70740"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","G7","45","45","59240","59370"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","10","10","81480","80750"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","130","130","36240","34890"
