"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","London","90","90","48960","43650"
"In post","2023","Analysis","Digital, Data and Technology","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Scotland","Outside London","15","15","40800","36800"
"In post","2023","Analysis","Digital, Data and Technology","South West (England)","Outside London","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Wales","Outside London","15","15","45740","39830"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Outside London","20","20","43930","39190"
"In post","2023","Analysis","Economics","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","London","London","1355","1325","51050","54090"
"In post","2023","Analysis","Economics","North East (England)","Outside London","50","50","36380","31310"
"In post","2023","Analysis","Economics","North West (England)","Outside London","105","105","39400","34850"
"In post","2023","Analysis","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Scotland","Outside London","35","30","46520","39660"
"In post","2023","Analysis","Economics","South East (England)","Outside London","30","30","38680","31560"
"In post","2023","Analysis","Economics","South West (England)","Outside London","15","15","43660","43250"
"In post","2023","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Wales","Outside London","115","115","37790","31560"
