"Status","Year","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Debt","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AO","Heterosexual / straight","30","30","23180","22430"
"In post","2023","Asian","Digital, Data & Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","EO","Heterosexual / straight","280","275","29150","28120"
"In post","2023","Asian","Digital, Data & Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","EO","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","G6","Heterosexual / straight","105","105","70720","68730"
"In post","2023","Asian","Digital, Data & Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","G7","Heterosexual / straight","395","395","57260","56430"
"In post","2023","Asian","Digital, Data & Technology","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","G7","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","HEO","Heterosexual / straight","380","375","35330","34990"
"In post","2023","Asian","Digital, Data & Technology","HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","HEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","HEO","Unknown","55","50","33990","34400"
"In post","2023","Asian","Digital, Data & Technology","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SEO","Heterosexual / straight","450","450","42480","42140"
"In post","2023","Asian","Digital, Data & Technology","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SEO","Undeclared","35","35","42870","42160"
"In post","2023","Asian","Digital, Data & Technology","SEO","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AO","Heterosexual / straight","80","75","23740","22520"
"In post","2023","Asian","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Finance","AO","Unknown","25","20","[c]","[c]"
"In post","2023","Asian","Finance","EO","Heterosexual / straight","195","190","28970","28130"
"In post","2023","Asian","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Finance","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Finance","G6","Heterosexual / straight","45","45","71220","70840"
"In post","2023","Asian","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","G7","Heterosexual / straight","165","160","57590","57060"
"In post","2023","Asian","Finance","G7","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Finance","G7","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Finance","G7","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Finance","HEO","Heterosexual / straight","260","255","35800","35350"
"In post","2023","Asian","Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Finance","HEO","Unknown","30","30","35210","34990"
"In post","2023","Asian","Finance","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","SEO","Heterosexual / straight","240","235","43840","43650"
"In post","2023","Asian","Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Finance","SEO","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","AO","Heterosexual / straight","40","35","22150","22150"
"In post","2023","Asian","Grants Management","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AO","Heterosexual / straight","55","50","23870","22520"
"In post","2023","Asian","Human Resources","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","EO","Heterosexual / straight","200","195","28770","28130"
"In post","2023","Asian","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","G7","Heterosexual / straight","95","90","56930","56080"
"In post","2023","Asian","Human Resources","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","HEO","Heterosexual / straight","190","180","35450","35410"
"In post","2023","Asian","Human Resources","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","HEO","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO","Heterosexual / straight","130","130","42400","42510"
"In post","2023","Asian","Human Resources","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Internal Audit","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G7","Undeclared","[c]","[c]","[c]","[c]"
