"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Lincolnshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Nottingham","Heterosexual / straight","40","35","50590","42400"
