"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derby","AA/AO","Female","280","220","21790","21690"
"In post","2023","East Midlands (England)","Derby","AA/AO","Male","155","150","25460","21690"
"In post","2023","East Midlands (England)","Derby","EO","Female","195","170","27830","28120"
"In post","2023","East Midlands (England)","Derby","EO","Male","120","115","29070","28120"
"In post","2023","East Midlands (England)","Derby","G6/G7","Female","15","10","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Derby","SEO/HEO","Female","50","45","36540","34170"
"In post","2023","East Midlands (England)","Derby","SEO/HEO","Male","30","30","37570","34170"
"In post","2023","East Midlands (England)","Derby","Unknown","Female","205","180","28730","26840"
"In post","2023","East Midlands (England)","Derby","Unknown","Male","70","70","32980","31980"
"In post","2023","East Midlands (England)","East Derbyshire","AA/AO","Female","80","65","21600","21690"
"In post","2023","East Midlands (England)","East Derbyshire","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Female","90","75","27870","28120"
"In post","2023","East Midlands (England)","East Derbyshire","EO","Male","40","40","28050","28120"
"In post","2023","East Midlands (England)","East Derbyshire","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","SEO/HEO","Female","30","30","36890","34970"
"In post","2023","East Midlands (England)","East Derbyshire","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Female","60","55","28800","26840"
"In post","2023","East Midlands (England)","East Derbyshire","Unknown","Male","20","20","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","AA/AO","Female","585","495","22570","21780"
"In post","2023","East Midlands (England)","Leicester","AA/AO","Male","395","375","23800","21780"
"In post","2023","East Midlands (England)","Leicester","EO","Female","355","310","27990","28120"
"In post","2023","East Midlands (England)","Leicester","EO","Male","285","275","28290","28120"
"In post","2023","East Midlands (England)","Leicester","G6/G7","Female","65","60","54340","52460"
"In post","2023","East Midlands (England)","Leicester","G6/G7","Male","35","35","56810","55100"
"In post","2023","East Midlands (England)","Leicester","SCS level","Female","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicester","SEO/HEO","Female","185","175","36780","34850"
"In post","2023","East Midlands (England)","Leicester","SEO/HEO","Male","125","120","37900","34850"
"In post","2023","East Midlands (England)","Leicester","Unknown","Female","250","230","29420","28630"
"In post","2023","East Midlands (England)","Leicester","Unknown","Male","85","80","30370","26070"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Female","500","435","24010","22220"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Male","390","375","27410","28880"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Female","320","285","28360","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","EO","Male","295","280","29660","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Female","45","45","62760","59590"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Male","55","55","62770","59440"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Female","200","190","37540","34970"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Male","220","220","40280","39720"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Female","55","50","32770","31510"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Male","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA/AO","Female","680","615","23470","22220"
"In post","2023","East Midlands (England)","Lincolnshire CC","AA/AO","Male","615","590","26020","23920"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Female","390","350","28180","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","EO","Male","345","330","29440","28120"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6/G7","Female","60","55","59950","55110"
"In post","2023","East Midlands (England)","Lincolnshire CC","G6/G7","Male","80","75","62760","59890"
"In post","2023","East Midlands (England)","Lincolnshire CC","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","Lincolnshire CC","SEO/HEO","Female","295","285","37610","34970"
"In post","2023","East Midlands (England)","Lincolnshire CC","SEO/HEO","Male","360","350","38820","37840"
"In post","2023","East Midlands (England)","Lincolnshire CC","Unknown","Female","195","185","29810","26840"
"In post","2023","East Midlands (England)","Lincolnshire CC","Unknown","Male","60","60","29410","26840"
"In post","2023","East Midlands (England)","North Northamptonshire","AA/AO","Female","185","155","21780","21690"
"In post","2023","East Midlands (England)","North Northamptonshire","AA/AO","Male","55","50","22740","21690"
"In post","2023","East Midlands (England)","North Northamptonshire","EO","Female","120","105","28100","28120"
"In post","2023","East Midlands (England)","North Northamptonshire","EO","Male","75","70","28270","28120"
"In post","2023","East Midlands (England)","North Northamptonshire","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","SEO/HEO","Female","40","35","37190","34170"
"In post","2023","East Midlands (England)","North Northamptonshire","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","North Northamptonshire","Unknown","Female","80","75","29130","28200"
"In post","2023","East Midlands (England)","North Northamptonshire","Unknown","Male","15","15","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","AA/AO","Female","185","170","26150","25340"
"In post","2023","East Midlands (England)","North Nottinghamshire","AA/AO","Male","255","245","28210","28880"
"In post","2023","East Midlands (England)","North Nottinghamshire","EO","Female","170","150","28400","28120"
"In post","2023","East Midlands (England)","North Nottinghamshire","EO","Male","125","120","29920","28120"
"In post","2023","East Midlands (England)","North Nottinghamshire","G6/G7","Female","30","30","64460","66170"
"In post","2023","East Midlands (England)","North Nottinghamshire","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","North Nottinghamshire","SEO/HEO","Female","85","85","40350","38470"
"In post","2023","East Midlands (England)","North Nottinghamshire","SEO/HEO","Male","85","80","41190","40660"
"In post","2023","East Midlands (England)","North Nottinghamshire","Unknown","Female","145","135","29480","29050"
"In post","2023","East Midlands (England)","North Nottinghamshire","Unknown","Male","30","30","28180","26840"
"In post","2023","East Midlands (England)","Nottingham","AA/AO","Female","1345","1185","22930","22520"
"In post","2023","East Midlands (England)","Nottingham","AA/AO","Male","1110","1060","23960","22520"
"In post","2023","East Midlands (England)","Nottingham","EO","Female","1350","1230","27820","28080"
"In post","2023","East Midlands (England)","Nottingham","EO","Male","990","965","28120","28080"
"In post","2023","East Midlands (England)","Nottingham","G6/G7","Female","575","545","58540","57970"
"In post","2023","East Midlands (England)","Nottingham","G6/G7","Male","530","520","59100","57970"
"In post","2023","East Midlands (England)","Nottingham","SCS level","Female","30","30","89200","81810"
"In post","2023","East Midlands (England)","Nottingham","SCS level","Male","25","25","[c]","[c]"
"In post","2023","East Midlands (England)","Nottingham","SEO/HEO","Female","1705","1600","37250","35000"
"In post","2023","East Midlands (England)","Nottingham","SEO/HEO","Male","1450","1420","37050","35000"
"In post","2023","East Midlands (England)","Nottingham","Unknown","Female","225","205","29150","29050"
"In post","2023","East Midlands (England)","Nottingham","Unknown","Male","70","65","29210","27940"
"In post","2023","East Midlands (England)","South Nottinghamshire","AA/AO","Female","210","190","24940","23230"
"In post","2023","East Midlands (England)","South Nottinghamshire","AA/AO","Male","220","215","27420","28880"
"In post","2023","East Midlands (England)","South Nottinghamshire","EO","Female","95","90","29090","28120"
"In post","2023","East Midlands (England)","South Nottinghamshire","EO","Male","125","120","30360","28480"
"In post","2023","East Midlands (England)","South Nottinghamshire","G6/G7","Female","50","50","61760","58450"
"In post","2023","East Midlands (England)","South Nottinghamshire","G6/G7","Male","30","30","66800","67000"
"In post","2023","East Midlands (England)","South Nottinghamshire","SCS level","Female","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SCS level","Male","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","SEO/HEO","Female","200","190","39540","38910"
"In post","2023","East Midlands (England)","South Nottinghamshire","SEO/HEO","Male","100","95","40520","40590"
"In post","2023","East Midlands (England)","South Nottinghamshire","Unknown","Female","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","South Nottinghamshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","AA/AO","Female","190","170","26650","25340"
"In post","2023","East Midlands (England)","South and West Derbyshire","AA/AO","Male","130","120","28910","30410"
"In post","2023","East Midlands (England)","South and West Derbyshire","EO","Female","220","190","28490","28120"
"In post","2023","East Midlands (England)","South and West Derbyshire","EO","Male","140","130","29220","28120"
"In post","2023","East Midlands (England)","South and West Derbyshire","G6/G7","Female","65","65","60740","59400"
"In post","2023","East Midlands (England)","South and West Derbyshire","G6/G7","Male","85","80","62850","59400"
"In post","2023","East Midlands (England)","South and West Derbyshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SCS level","Male","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","South and West Derbyshire","SEO/HEO","Female","195","175","38520","36080"
