"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","Heterosexual / straight","1155","1075","40150","34070"
"In post","2023","Aberdeen City and Aberdeenshire","LGBO","70","70","35460","31350"
"In post","2023","Aberdeen City and Aberdeenshire","Undeclared","125","115","41930","32000"
"In post","2023","Aberdeen City and Aberdeenshire","Unknown","560","520","34690","31940"
"In post","2023","Angus and Dundee City","Heterosexual / straight","1480","1390","30410","28120"
"In post","2023","Angus and Dundee City","LGBO","140","135","28250","26890"
"In post","2023","Angus and Dundee City","Undeclared","105","100","26940","23340"
"In post","2023","Angus and Dundee City","Unknown","805","755","27620","24890"
"In post","2023","Antrim and Newtownabbey","Heterosexual / straight","165","160","26800","22130"
"In post","2023","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Undeclared","15","10","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","Unknown","35","30","29620","25750"
"In post","2023","Ards and North Down","Heterosexual / straight","185","180","27620","22500"
"In post","2023","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","Undeclared","10","10","[c]","[c]"
"In post","2023","Ards and North Down","Unknown","25","25","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Heterosexual / straight","455","420","33500","32520"
"In post","2023","Barking & Dagenham and Havering","LGBO","20","20","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Undeclared","45","40","31890","32520"
"In post","2023","Barking & Dagenham and Havering","Unknown","115","100","32600","32520"
"In post","2023","Barnet","Heterosexual / straight","1085","1030","40290","33330"
"In post","2023","Barnet","LGBO","55","55","44490","40880"
"In post","2023","Barnet","Undeclared","155","145","42890","37640"
"In post","2023","Barnet","Unknown","390","365","44810","37070"
"In post","2023","Barnsley, Doncaster and Rotherham","Heterosexual / straight","2185","1960","29990","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","LGBO","140","135","29980","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Undeclared","235","210","30310","28120"
"In post","2023","Barnsley, Doncaster and Rotherham","Unknown","495","440","28110","28120"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","10770","10315","40960","38790"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","450","440","36650","33830"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","1305","1235","42240","41350"
"In post","2023","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","1395","1335","35350","32500"
"In post","2023","Bedford","Heterosexual / straight","615","580","32310","30810"
"In post","2023","Bedford","LGBO","50","45","31530","30880"
"In post","2023","Bedford","Undeclared","90","85","34320","31270"
"In post","2023","Bedford","Unknown","150","135","30820","29120"
"In post","2023","Belfast","Heterosexual / straight","2140","2015","33410","29730"
"In post","2023","Belfast","LGBO","135","130","30000","27890"
"In post","2023","Belfast","Undeclared","155","145","33200","32160"
"In post","2023","Belfast","Unknown","890","835","28920","25880"
"In post","2023","Berkshire","Heterosexual / straight","1900","1805","36550","32700"
"In post","2023","Berkshire","LGBO","95","95","34020","31280"
"In post","2023","Berkshire","Undeclared","270","260","37170","34310"
"In post","2023","Berkshire","Unknown","575","545","35060","31280"
"In post","2023","Bexley and Greenwich","Heterosexual / straight","1150","1100","34840","33050"
"In post","2023","Bexley and Greenwich","LGBO","70","70","33960","33810"
"In post","2023","Bexley and Greenwich","Undeclared","130","120","35050","32520"
"In post","2023","Bexley and Greenwich","Unknown","395","370","32640","32120"
"In post","2023","Birmingham","Heterosexual / straight","9205","8665","33860","28840"
"In post","2023","Birmingham","LGBO","495","480","33670","29050"
"In post","2023","Birmingham","Undeclared","965","890","33000","28120"
"In post","2023","Birmingham","Unknown","3110","2885","31120","28120"
"In post","2023","Blackburn with Darwen","Heterosexual / straight","290","265","29330","28120"
"In post","2023","Blackburn with Darwen","LGBO","15","10","[c]","[c]"
"In post","2023","Blackburn with Darwen","Undeclared","25","20","[c]","[c]"
"In post","2023","Blackburn with Darwen","Unknown","65","60","27960","28120"
"In post","2023","Blackpool","Heterosexual / straight","3925","3610","31980","28120"
"In post","2023","Blackpool","LGBO","240","230","29110","28120"
"In post","2023","Blackpool","Undeclared","410","380","31970","28120"
"In post","2023","Blackpool","Unknown","920","830","30940","28120"
"In post","2023","Bournemouth, Christchurch and Poole","Heterosexual / straight","560","510","29580","28120"
"In post","2023","Bournemouth, Christchurch and Poole","LGBO","35","35","32570","28120"
"In post","2023","Bournemouth, Christchurch and Poole","Undeclared","70","65","28910","27650"
"In post","2023","Bournemouth, Christchurch and Poole","Unknown","105","90","27530","26650"
"In post","2023","Bradford","Heterosexual / straight","1765","1590","27810","25880"
"In post","2023","Bradford","LGBO","90","85","27270","24570"
"In post","2023","Bradford","Undeclared","190","165","26910","22520"
"In post","2023","Bradford","Unknown","750","655","25780","22520"
"In post","2023","Breckland and South Norfolk","Heterosexual / straight","430","405","32350","29890"
"In post","2023","Breckland and South Norfolk","LGBO","25","20","[c]","[c]"
"In post","2023","Breckland and South Norfolk","Undeclared","35","30","31960","30410"
"In post","2023","Breckland and South Norfolk","Unknown","70","65","31450","28880"
"In post","2023","Brent","Heterosexual / straight","345","320","33110","32520"
"In post","2023","Brent","LGBO","15","15","[c]","[c]"
"In post","2023","Brent","Undeclared","70","60","34530","32520"
"In post","2023","Brent","Unknown","125","115","33410","31540"
"In post","2023","Bridgend and Neath Port Talbot","Heterosexual / straight","560","515","29980","28120"
"In post","2023","Bridgend and Neath Port Talbot","LGBO","30","25","[c]","[c]"
"In post","2023","Bridgend and Neath Port Talbot","Undeclared","40","35","29200","28120"
"In post","2023","Bridgend and Neath Port Talbot","Unknown","115","100","27730","27520"
"In post","2023","Brighton and Hove","Heterosexual / straight","420","385","35320","28610"
"In post","2023","Brighton and Hove","LGBO","90","85","32770","28120"
"In post","2023","Brighton and Hove","Undeclared","70","60","33170","28180"
"In post","2023","Brighton and Hove","Unknown","105","95","32500","28960"
"In post","2023","Bristol, City of","Heterosexual / straight","4705","4415","37790","34400"
"In post","2023","Bristol, City of","LGBO","390","380","37300","34620"
"In post","2023","Bristol, City of","Undeclared","610","570","37370","33450"
"In post","2023","Bristol, City of","Unknown","1105","1020","35860","30330"
"In post","2023","Bromley","Heterosexual / straight","460","425","33270","32520"
"In post","2023","Bromley","LGBO","25","25","[c]","[c]"
"In post","2023","Bromley","Undeclared","60","50","35910","32520"
"In post","2023","Bromley","Unknown","85","80","33620","32520"
"In post","2023","Buckinghamshire","Heterosexual / straight","1280","1220","35280","32380"
"In post","2023","Buckinghamshire","LGBO","70","70","32230","32380"
"In post","2023","Buckinghamshire","Undeclared","145","135","34170","34080"
"In post","2023","Buckinghamshire","Unknown","210","190","34610","30940"
"In post","2023","Caithness and Sutherland, and Ross and Cromarty","Heterosexual / straight","135","125","31760","28140"
"In post","2023","Caithness and Sutherland, and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Caithness and Sutherland, and Ross and Cromarty","Undeclared","15","10","[c]","[c]"
"In post","2023","Caithness and Sutherland, and Ross and Cromarty","Unknown","65","55","31750","30440"
"In post","2023","Calderdale and Kirklees","Heterosexual / straight","770","700","30440","28120"
"In post","2023","Calderdale and Kirklees","LGBO","40","40","30190","28120"
"In post","2023","Calderdale and Kirklees","Undeclared","100","85","30690","28120"
"In post","2023","Calderdale and Kirklees","Unknown","165","140","29180","28120"
"In post","2023","Cambridgeshire CC","Heterosexual / straight","2505","2390","35790","33500"
"In post","2023","Cambridgeshire CC","LGBO","105","105","33310","30700"
"In post","2023","Cambridgeshire CC","Undeclared","350","330","36530","34170"
"In post","2023","Cambridgeshire CC","Unknown","505","475","33590","30410"
"In post","2023","Camden and City of London","Heterosexual / straight","1150","1095","39390","30140"
"In post","2023","Camden and City of London","LGBO","70","65","40710","36180"
"In post","2023","Camden and City of London","Undeclared","205","195","38020","31580"
"In post","2023","Camden and City of London","Unknown","325","310","42610","33240"
"In post","2023","Cardiff and Vale of Glamorgan","Heterosexual / straight","8550","8060","37750","34170"
"In post","2023","Cardiff and Vale of Glamorgan","LGBO","700","680","35380","30610"
"In post","2023","Cardiff and Vale of Glamorgan","Undeclared","995","925","38640","34700"
"In post","2023","Cardiff and Vale of Glamorgan","Unknown","2220","2070","31120","28130"
"In post","2023","Causeway Coast and Glens","Heterosexual / straight","60","60","24560","22130"
"In post","2023","Causeway Coast and Glens","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Causeway Coast and Glens","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Causeway Coast and Glens","Unknown","10","10","[c]","[c]"
"In post","2023","Central Bedfordshire","Heterosexual / straight","340","330","33460","29850"
"In post","2023","Central Bedfordshire","LGBO","15","15","[c]","[c]"
"In post","2023","Central Bedfordshire","Undeclared","55","50","35130","33740"
"In post","2023","Central Bedfordshire","Unknown","45","40","29550","27470"
"In post","2023","Central Hampshire","Heterosexual / straight","3335","3210","39100","35700"
"In post","2023","Central Hampshire","LGBO","170","165","35440","33830"
"In post","2023","Central Hampshire","Undeclared","340","325","37010","34300"
"In post","2023","Central Hampshire","Unknown","690","665","39990","36940"
"In post","2023","Central Valleys","Heterosexual / straight","2355","2200","32790","28120"
"In post","2023","Central Valleys","LGBO","160","155","30890","28120"
"In post","2023","Central Valleys","Undeclared","235","220","31780","28120"
"In post","2023","Central Valleys","Unknown","430","385","30060","28120"
"In post","2023","Cheshire East","Heterosexual / straight","900","845","33120","28880"
"In post","2023","Cheshire East","LGBO","85","85","33260","29600"
"In post","2023","Cheshire East","Undeclared","135","120","32430","29050"
