"Status","Year","Disability","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","30","30","31380","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","East of England","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","North West (England)","Outside London","50","45","27730","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Scotland","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","South East (England)","Outside London","100","95","32580","29120"
"In post","2023","Declared disabled","Animal and Plant Health Agency","South West (England)","Outside London","60","60","26790","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Wales","Outside London","45","40","28620","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","Outside London","45","45","30040","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Yorkshire and The Humber","Outside London","50","50","28180","25920"
"In post","2023","Declared disabled","Attorney General's Office","London","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","East of England","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","London","425","415","49790","43930"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","North East (England)","Outside London","65","60","28340","24860"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","North West (England)","Outside London","45","45","45250","40940"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Scotland","Outside London","50","50","40050","38050"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","South West (England)","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Outside London","120","115","36590","34320"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","London","London","215","215","30840","30130"
