"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","HEO","535","515","34760","34300"
"In post","2023","Declared disabled","Human Resources","SEO/HEO","SEO","385","365","42060","41510"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6/G7","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","HEO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO/HEO","SEO","30","30","45390","44540"
"In post","2023","Declared disabled","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA/AO","AO","230","215","23350","22870"
"In post","2023","Declared disabled","Legal","EO","EO","275","250","28770","28850"
"In post","2023","Declared disabled","Legal","G6/G7","G6","115","105","72940","72450"
"In post","2023","Declared disabled","Legal","G6/G7","G7","505","465","57820","56450"
"In post","2023","Declared disabled","Legal","SCS level","SCS level","40","40","87610","83420"
"In post","2023","Declared disabled","Legal","SEO/HEO","HEO","135","125","35830","35000"
"In post","2023","Declared disabled","Legal","SEO/HEO","SEO","75","70","41150","40800"
"In post","2023","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","AA/AO","AA","1640","1420","21720","21380"
"In post","2023","Declared disabled","No function","AA/AO","AO","11885","10375","23780","22220"
"In post","2023","Declared disabled","No function","EO","EO","13025","11695","28900","28120"
"In post","2023","Declared disabled","No function","G6/G7","G6","640","615","70170","67670"
"In post","2023","Declared disabled","No function","G6/G7","G7","1855","1795","56490","55650"
"In post","2023","Declared disabled","No function","SCS level","SCS level","270","260","91520","81390"
"In post","2023","Declared disabled","No function","SEO/HEO","HEO","4870","4620","35090","34700"
"In post","2023","Declared disabled","No function","SEO/HEO","SEO","2800","2700","43400","42460"
"In post","2023","Declared disabled","No function","Unknown","Unknown","4035","3760","31140","29050"
"In post","2023","Declared disabled","Project Delivery","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","AA/AO","AO","55","50","23530","22520"
"In post","2023","Declared disabled","Project Delivery","EO","EO","220","200","28450","28120"
"In post","2023","Declared disabled","Project Delivery","G6/G7","G6","175","170","70520","70600"
"In post","2023","Declared disabled","Project Delivery","G6/G7","G7","490","470","55090","55210"
"In post","2023","Declared disabled","Project Delivery","SCS level","SCS level","30","30","91040","85020"
"In post","2023","Declared disabled","Project Delivery","SEO/HEO","HEO","635","600","33950","34170"
"In post","2023","Declared disabled","Project Delivery","SEO/HEO","SEO","580","555","41510","41800"
"In post","2023","Declared disabled","Project Delivery","Unknown","Unknown","195","190","41200","39690"
"In post","2023","Declared disabled","Property","AA/AO","AA","35","35","19900","19170"
"In post","2023","Declared disabled","Property","AA/AO","AO","110","105","23730","22520"
"In post","2023","Declared disabled","Property","EO","EO","130","120","28090","27470"
"In post","2023","Declared disabled","Property","G6/G7","G6","40","40","66850","66350"
"In post","2023","Declared disabled","Property","G6/G7","G7","100","100","55230","55390"
"In post","2023","Declared disabled","Property","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Property","SEO/HEO","HEO","205","195","34170","34300"
"In post","2023","Declared disabled","Property","SEO/HEO","SEO","145","140","42780","41820"
"In post","2023","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","AA/AO","AA","160","150","22280","21380"
"In post","2023","Declared disabled","Security","AA/AO","AO","220","210","31650","29480"
"In post","2023","Declared disabled","Security","EO","EO","155","145","31970","28120"
"In post","2023","Declared disabled","Security","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Security","G6/G7","G7","55","50","56270","55850"
"In post","2023","Declared disabled","Security","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Security","SEO/HEO","HEO","145","145","36410","34320"
"In post","2023","Declared disabled","Security","SEO/HEO","SEO","85","85","42800","41870"
"In post","2023","Declared disabled","Security","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Unknown","AA/AO","AA","205","190","23660","23340"
"In post","2023","Declared disabled","Unknown","AA/AO","AO","205","195","25690","25700"
"In post","2023","Declared disabled","Unknown","EO","EO","485","455","30040","29450"
"In post","2023","Declared disabled","Unknown","G6/G7","G6","120","115","75540","76990"
"In post","2023","Declared disabled","Unknown","G6/G7","G7","415","395","57170","57290"
"In post","2023","Declared disabled","Unknown","SCS level","SCS level","45","45","87510","83530"
"In post","2023","Declared disabled","Unknown","SEO/HEO","HEO","750","725","34720","34730"
"In post","2023","Declared disabled","Unknown","SEO/HEO","SEO","470","450","44710","43760"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","AA/AO","AO","105","100","22660","22180"
"In post","2023","Declared non-disabled","Analysis","EO","EO","535","515","27660","27210"
"In post","2023","Declared non-disabled","Analysis","G6/G7","G6","600","570","73800","70550"
"In post","2023","Declared non-disabled","Analysis","G6/G7","G7","1820","1740","56270","55720"
"In post","2023","Declared non-disabled","Analysis","SCS level","SCS level","165","160","88890","82400"
"In post","2023","Declared non-disabled","Analysis","SEO/HEO","HEO","1610","1570","34380","34170"
"In post","2023","Declared non-disabled","Analysis","SEO/HEO","SEO","1460","1405","41900","41500"
"In post","2023","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","AA/AO","AA","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","AA/AO","AO","160","150","23110","22500"
"In post","2023","Declared non-disabled","Commercial","EO","EO","420","395","27720","27250"
"In post","2023","Declared non-disabled","Commercial","G6/G7","G6","475","465","73580","70980"
"In post","2023","Declared non-disabled","Commercial","G6/G7","G7","1140","1120","58920","56040"
"In post","2023","Declared non-disabled","Commercial","SCS level","SCS level","215","210","114980","109590"
"In post","2023","Declared non-disabled","Commercial","SEO/HEO","HEO","875","845","33800","33990"
"In post","2023","Declared non-disabled","Commercial","SEO/HEO","SEO","1195","1160","41990","42260"
"In post","2023","Declared non-disabled","Commercial","Unknown","Unknown","110","110","44160","42620"
"In post","2023","Declared non-disabled","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","AA/AO","AO","100","95","23190","22430"
"In post","2023","Declared non-disabled","Communications","EO","EO","295","275","28740","28300"
