"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","Heterosexual / straight","35","35","50500","51770"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northumberland, and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Wales and The Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Wales and The Valleys","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
