"Status","Year","Disability","Function_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","EO","5","5","[c]","[c]"
