"Status","Year","Disability","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Female","420","375","33240","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Male","180","175","34400","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","650","600","33050","30310"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","470","455","35500","32410"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Female","355","320","31090","28120"
"In post","2023","Declared disabled","Cheshire","Male","190","180","33120","29240"
"In post","2023","Declared disabled","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Female","170","145","27890","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Male","90","85","27840","27590"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Female","225","195","28530","25920"
"In post","2023","Declared disabled","Cumbria","Male","135","130","30860","27170"
"In post","2023","Declared disabled","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Female","1225","1100","31870","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Male","750","710","31160","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Devon","Female","705","615","30290","28120"
"In post","2023","Declared disabled","Devon","Male","530","500","32210","28480"
"In post","2023","Declared disabled","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Dorset and Somerset","Female","430","390","30400","28120"
"In post","2023","Declared disabled","Dorset and Somerset","Male","315","300","32350","29880"
"In post","2023","Declared disabled","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Anglia","Female","945","840","29800","28120"
"In post","2023","Declared disabled","East Anglia","Male","715","680","32450","30350"
"In post","2023","Declared disabled","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Wales","Female","1225","1110","33240","28480"
"In post","2023","Declared disabled","East Wales","Male","800","770","34780","30610"
"In post","2023","Declared disabled","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Female","360","315","28360","28120"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Male","275","255","30160","28120"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Eastern Scotland","Female","1320","1205","35350","29450"
"In post","2023","Declared disabled","Eastern Scotland","Male","905","865","36290","32510"
"In post","2023","Declared disabled","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Essex","Female","455","405","31070","31280"
"In post","2023","Declared disabled","Essex","Male","195","185","31400","31280"
"In post","2023","Declared disabled","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Female","1915","1765","35430","32250"
"In post","2023","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Male","1765","1715","39520","37060"
"In post","2023","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Greater Manchester","Female","1620","1470","32260","28120"
"In post","2023","Declared disabled","Greater Manchester","Male","1110","1055","34100","29370"
"In post","2023","Declared disabled","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Hampshire and Isle of Wight","Female","1070","950","32240","28120"
"In post","2023","Declared disabled","Hampshire and Isle of Wight","Male","905","855","35430","32820"
"In post","2023","Declared disabled","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Female","360","320","29270","28120"
"In post","2023","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Male","175","165","31920","28880"
"In post","2023","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Highlands and Islands","Female","115","100","29190","28120"
"In post","2023","Declared disabled","Highlands and Islands","Male","75","70","30860","28120"
"In post","2023","Declared disabled","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inner London - East","Female","1210","1130","40070","34370"
"In post","2023","Declared disabled","Inner London - East","Male","775","750","43070","39450"
"In post","2023","Declared disabled","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Inner London - West","Female","3385","3235","46160","41550"
"In post","2023","Declared disabled","Inner London - West","Male","2395","2350","48520","43650"
"In post","2023","Declared disabled","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Kent","Female","645","585","30800","30880"
"In post","2023","Declared disabled","Kent","Male","455","435","32340","31280"
"In post","2023","Declared disabled","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Lancashire","Female","1485","1295","28960","28120"
"In post","2023","Declared disabled","Lancashire","Male","840","780","29870","28120"
"In post","2023","Declared disabled","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Leicestershire, Rutland and Northamptonshire","Female","585","515","27950","27790"
"In post","2023","Declared disabled","Leicestershire, Rutland and Northamptonshire","Male","295","280","29050","28120"
"In post","2023","Declared disabled","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Lincolnshire","Female","290","260","28800","28120"
"In post","2023","Declared disabled","Lincolnshire","Male","195","185","31520","29050"
"In post","2023","Declared disabled","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Merseyside","Female","1765","1540","29970","28120"
"In post","2023","Declared disabled","Merseyside","Male","950","895","30810","28080"
"In post","2023","Declared disabled","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North Eastern Scotland","Female","90","85","32610","28120"
"In post","2023","Declared disabled","North Eastern Scotland","Male","60","60","38300","34170"
"In post","2023","Declared disabled","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North Yorkshire","Female","380","350","33280","29050"
"In post","2023","Declared disabled","North Yorkshire","Male","225","220","32980","28900"
"In post","2023","Declared disabled","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Female","215","195","33060","28130"
