"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","AA/AO","AO","25","20","[c]","[c]"
"In post","2023","Asian","Analysis","EO","EO","110","110","28710","28720"
"In post","2023","Asian","Analysis","G6/G7","G6","45","45","72440","69480"
"In post","2023","Asian","Analysis","G6/G7","G7","170","165","57490","56760"
"In post","2023","Asian","Analysis","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","SEO/HEO","HEO","250","245","35170","35000"
"In post","2023","Asian","Analysis","SEO/HEO","SEO","175","170","42860","43210"
"In post","2023","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","EO","EO","50","50","29120","28570"
"In post","2023","Asian","Commercial","G6/G7","G6","35","35","71670","68500"
"In post","2023","Asian","Commercial","G6/G7","G7","95","95","60520","59560"
"In post","2023","Asian","Commercial","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","SEO/HEO","HEO","120","120","33860","34300"
"In post","2023","Asian","Commercial","SEO/HEO","SEO","90","90","43250","42330"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Asian","Communications","EO","EO","40","40","29370","29000"
"In post","2023","Asian","Communications","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Asian","Communications","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO/HEO","HEO","45","45","36300","35610"
"In post","2023","Asian","Communications","SEO/HEO","SEO","50","50","44430","43700"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","AO","260","225","24190","25610"
"In post","2023","Asian","Counter Fraud","EO","EO","705","665","30130","28130"
"In post","2023","Asian","Counter Fraud","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G6/G7","G7","45","45","60050","58380"
"In post","2023","Asian","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SEO/HEO","HEO","365","355","36950","35000"
"In post","2023","Asian","Counter Fraud","SEO/HEO","SEO","90","85","43960","42520"
"In post","2023","Asian","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","AA/AO","AO","950","835","23150","22520"
"In post","2023","Asian","Debt","EO","EO","130","120","29630","28130"
"In post","2023","Asian","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA/AO","AO","35","35","23400","22520"
"In post","2023","Asian","Digital, Data & Technology","EO","EO","320","310","29170","28120"
"In post","2023","Asian","Digital, Data & Technology","G6/G7","G6","120","120","70560","68730"
"In post","2023","Asian","Digital, Data & Technology","G6/G7","G7","460","455","57230","56430"
"In post","2023","Asian","Digital, Data & Technology","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SEO/HEO","HEO","475","465","35160","34850"
"In post","2023","Asian","Digital, Data & Technology","SEO/HEO","SEO","530","525","42500","42140"
"In post","2023","Asian","Digital, Data & Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA/AO","AO","120","105","23460","22520"
"In post","2023","Asian","Finance","EO","EO","225","215","28980","28130"
"In post","2023","Asian","Finance","G6/G7","G6","50","45","71110","70840"
"In post","2023","Asian","Finance","G6/G7","G7","185","185","57660","57200"
"In post","2023","Asian","Finance","SCS level","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Finance","SEO/HEO","HEO","310","300","35790","35300"
"In post","2023","Asian","Finance","SEO/HEO","SEO","280","270","43750","43650"
"In post","2023","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","AA/AO","AO","40","40","22150","22150"
"In post","2023","Asian","Grants Management","EO","EO","10","10","[c]","[c]"
"In post","2023","Asian","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA/AO","AO","60","55","23770","22520"
"In post","2023","Asian","Human Resources","EO","EO","225","215","29000","28130"
"In post","2023","Asian","Human Resources","G6/G7","G6","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","G6/G7","G7","100","100","57120","56390"
"In post","2023","Asian","Human Resources","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO/HEO","HEO","220","215","35670","35410"
"In post","2023","Asian","Human Resources","SEO/HEO","SEO","140","140","42400","42510"
"In post","2023","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6/G7","G7","20","20","[c]","[c]"
"In post","2023","Asian","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","SEO/HEO","HEO","30","30","[c]","[c]"
"In post","2023","Asian","Internal Audit","SEO/HEO","SEO","45","40","45250","44370"
"In post","2023","Asian","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","AA/AO","AO","255","235","23290","22870"
"In post","2023","Asian","Legal","EO","EO","260","245","28690","28200"
"In post","2023","Asian","Legal","G6/G7","G6","120","110","70480","68670"
"In post","2023","Asian","Legal","G6/G7","G7","555","520","56230","54100"
"In post","2023","Asian","Legal","SCS level","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Legal","SEO/HEO","HEO","120","115","36000","35000"
"In post","2023","Asian","Legal","SEO/HEO","SEO","85","80","40570","40800"
"In post","2023","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","AA/AO","AA","510","445","22590","23000"
"In post","2023","Asian","No function","AA/AO","AO","6280","5555","23840","22520"
"In post","2023","Asian","No function","EO","EO","7855","7255","29340","28120"
"In post","2023","Asian","No function","G6/G7","G6","380","365","70710","68610"
"In post","2023","Asian","No function","G6/G7","G7","1295","1270","57490","56340"
"In post","2023","Asian","No function","SCS level","SCS level","190","180","94490","89180"
"In post","2023","Asian","No function","SEO/HEO","HEO","3500","3375","35520","35000"
"In post","2023","Asian","No function","SEO/HEO","SEO","1925","1875","43370","42910"
"In post","2023","Asian","No function","Unknown","Unknown","970","905","29490","27230"
"In post","2023","Asian","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","AA/AO","AO","30","30","23590","23200"
"In post","2023","Asian","Project Delivery","EO","EO","185","180","29210","28500"
"In post","2023","Asian","Project Delivery","G6/G7","G6","115","115","71280","69940"
"In post","2023","Asian","Project Delivery","G6/G7","G7","280","275","57490","56430"
"In post","2023","Asian","Project Delivery","SCS level","SCS level","35","35","90890","85340"
"In post","2023","Asian","Project Delivery","SEO/HEO","HEO","410","400","35500","34970"
"In post","2023","Asian","Project Delivery","SEO/HEO","SEO","345","340","42430","42140"
"In post","2023","Asian","Project Delivery","Unknown","Unknown","45","40","40300","38790"
"In post","2023","Asian","Property","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Asian","Property","AA/AO","AO","75","70","23770","22520"
"In post","2023","Asian","Property","EO","EO","100","95","29380","29660"
"In post","2023","Asian","Property","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Asian","Property","G6/G7","G7","45","45","56350","56060"
"In post","2023","Asian","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","SEO/HEO","HEO","100","95","35280","35410"
"In post","2023","Asian","Property","SEO/HEO","SEO","75","75","44000","43760"
"In post","2023","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","AA/AO","AA","95","95","23090","22880"
"In post","2023","Asian","Security","AA/AO","AO","70","65","30330","28610"
"In post","2023","Asian","Security","EO","EO","70","65","30010","29890"
"In post","2023","Asian","Security","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Asian","Security","G6/G7","G7","30","30","58310","56720"
"In post","2023","Asian","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","SEO/HEO","HEO","70","65","36200","36180"
"In post","2023","Asian","Security","SEO/HEO","SEO","45","45","44510","44450"
"In post","2023","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AA/AO","AA","35","30","23490","23340"
"In post","2023","Asian","Unknown","AA/AO","AO","55","55","24600","25620"
"In post","2023","Asian","Unknown","EO","EO","120","115","29580","29100"
"In post","2023","Asian","Unknown","G6/G7","G6","35","30","72160","70920"
"In post","2023","Asian","Unknown","G6/G7","G7","80","80","55400","54990"
"In post","2023","Asian","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Unknown","SEO/HEO","HEO","260","255","33680","33020"
"In post","2023","Asian","Unknown","SEO/HEO","SEO","130","130","44450","43760"
"In post","2023","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Black","Analysis","EO","EO","50","50","29330","28960"
"In post","2023","Black","Analysis","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Black","Analysis","G6/G7","G7","40","40","55970","55410"
"In post","2023","Black","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","SEO/HEO","HEO","85","85","34810","34670"
"In post","2023","Black","Analysis","SEO/HEO","SEO","65","65","42800","43390"
"In post","2023","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","AA/AO","AO","15","15","[c]","[c]"
"In post","2023","Black","Commercial","EO","EO","25","25","[c]","[c]"
"In post","2023","Black","Commercial","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Black","Commercial","G6/G7","G7","40","40","60500","58660"
"In post","2023","Black","Commercial","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Black","Commercial","SEO/HEO","HEO","45","45","34620","34350"
"In post","2023","Black","Commercial","SEO/HEO","SEO","70","70","43160","42210"
