"Status","Year","Function_of_post","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","London","Heterosexual / straight","50","50","49300","44730"
"In post","2023","Analysis","Digital, Data and Technology","London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","London","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","Heterosexual / straight","60","60","42810","39090"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Economics","London","Heterosexual / straight","915","900","51810","54630"
"In post","2023","Analysis","Economics","London","LGBO","95","95","49110","46080"
"In post","2023","Analysis","Economics","London","Undeclared","100","95","52670","54810"
"In post","2023","Analysis","Economics","London","Unknown","240","240","48260","43320"
"In post","2023","Analysis","Economics","Outside London","Heterosexual / straight","305","300","41460","35290"
"In post","2023","Analysis","Economics","Outside London","LGBO","35","35","36730","34700"
"In post","2023","Analysis","Economics","Outside London","Undeclared","35","35","39290","34260"
"In post","2023","Analysis","Economics","Outside London","Unknown","70","70","41950","35330"
"In post","2023","Analysis","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Finance","Outside London","Unknown","10","5","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Heterosexual / straight","30","30","50630","48350"
"In post","2023","Analysis","Intelligence Analysis","London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","London","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","Heterosexual / straight","55","50","37170","33000"
"In post","2023","Analysis","Intelligence Analysis","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Analysis","Intelligence Analysis","Outside London","Unknown","20","15","[c]","[c]"
"In post","2023","Analysis","International Trade","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Legal","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","Heterosexual / straight","100","95","38040","35410"
"In post","2023","Analysis","Operational Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","London","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","Operational Delivery","Outside London","Heterosexual / straight","390","365","34680","32000"
"In post","2023","Analysis","Operational Delivery","Outside London","LGBO","40","40","33350","31560"
"In post","2023","Analysis","Operational Delivery","Outside London","Undeclared","30","30","[c]","[c]"
