"Status","Year","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Heterosexual / straight","255","230","27710","24490"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Undeclared","35","30","30860","22500"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Unknown","215","195","27750","25710"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Heterosexual / straight","375","345","30710","29370"
"In post","2023","Aberdeen City and Aberdeenshire","EO","LGBO","30","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Undeclared","40","40","29420","28120"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Unknown","190","180","32630","31940"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Heterosexual / straight","120","115","66340","65280"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Undeclared","15","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Heterosexual / straight","405","380","48500","39750"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Undeclared","40","35","53780","42860"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","130","120","43480","41500"
"In post","2023","Angus and Dundee City","AA/AO","Heterosexual / straight","580","535","22850","22180"
"In post","2023","Angus and Dundee City","AA/AO","LGBO","70","65","22960","22180"
"In post","2023","Angus and Dundee City","AA/AO","Undeclared","60","55","22000","21690"
"In post","2023","Angus and Dundee City","AA/AO","Unknown","440","405","22820","22180"
"In post","2023","Angus and Dundee City","EO","Heterosexual / straight","535","500","29060","29100"
"In post","2023","Angus and Dundee City","EO","LGBO","50","50","29020","29100"
"In post","2023","Angus and Dundee City","EO","Undeclared","30","25","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Unknown","265","250","29470","29100"
"In post","2023","Angus and Dundee City","G6/G7","Heterosexual / straight","90","90","63480","65280"
"In post","2023","Angus and Dundee City","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2023","Angus and Dundee City","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2023","Angus and Dundee City","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","SEO/HEO","Heterosexual / straight","275","265","37770","35020"
"In post","2023","Angus and Dundee City","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Angus and Dundee City","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Angus and Dundee City","SEO/HEO","Unknown","80","75","37560","35020"
"In post","2023","Antrim and Newtownabbey","AA/AO","Heterosexual / straight","110","110","21950","22130"
"In post","2023","Antrim and Newtownabbey","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Antrim and Newtownabbey","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","AA/AO","Heterosexual / straight","125","120","22180","22130"
"In post","2023","Ards and North Down","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Ards and North Down","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2023","Ards and North Down","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Ards and North Down","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Ards and North Down","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Armagh City, Banbridge and Craigavon","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","AA/AO","Heterosexual / straight","70","60","25910","25480"
"In post","2023","Barking & Dagenham and Havering","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","EO","Heterosexual / straight","255","230","32310","32520"
"In post","2023","Barking & Dagenham and Havering","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","EO","Undeclared","25","20","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","EO","Unknown","70","65","32080","32520"
"In post","2023","Barking & Dagenham and Havering","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","Heterosexual / straight","55","55","40970","39150"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Unknown","Heterosexual / straight","70","65","35180","34820"
"In post","2023","Barking & Dagenham and Havering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Barking & Dagenham and Havering","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Barnet","AA/AO","Heterosexual / straight","145","125","25170","25200"
"In post","2023","Barnet","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2023","Barnet","AA/AO","Unknown","50","45","24570","24490"
"In post","2023","Barnet","EO","Heterosexual / straight","295","280","31050","32200"
"In post","2023","Barnet","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Barnet","EO","Undeclared","30","30","30970","31450"
"In post","2023","Barnet","EO","Unknown","85","80","30810","32090"
"In post","2023","Barnet","G6/G7","Heterosexual / straight","195","190","61720","59870"
"In post","2023","Barnet","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2023","Barnet","G6/G7","Undeclared","30","30","60940","55640"
"In post","2023","Barnet","G6/G7","Unknown","85","85","61380","59800"
"In post","2023","Barnet","SCS level","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Barnet","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","SCS level","Unknown","20","15","[c]","[c]"
"In post","2023","Barnet","SEO/HEO","Heterosexual / straight","360","355","39520","40880"
"In post","2023","Barnet","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Barnet","SEO/HEO","Undeclared","55","50","40690","40880"
"In post","2023","Barnet","SEO/HEO","Unknown","125","120","40680","40880"
"In post","2023","Barnet","Unknown","Heterosexual / straight","65","60","34760","33050"
"In post","2023","Barnet","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Barnet","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2023","Barnet","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Barnsley, Doncaster and Rotherham","AA/AO","Heterosexual / straight","940","835","25560","23230"
"In post","2023","Barnsley, Doncaster and Rotherham","AA/AO","LGBO","60","60","26330","24070"
"In post","2023","Barnsley, Doncaster and Rotherham","AA/AO","Undeclared","105","95","25620","21780"
"In post","2023","Barnsley, Doncaster and Rotherham","AA/AO","Unknown","275","250","25250","23230"
