"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","London","165","165","46190","40860"
"In post","2023","Asian","Analysis","Economics","North East (England)","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","North West (England)","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Wales","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
