"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","AA/AO","Female","175","155","23290","24280"
"In post","2023","Asian","Attorney General's Departments","AA/AO","Male","75","70","23320","24280"
"In post","2023","Asian","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","EO","Female","175","165","28330","28200"
"In post","2023","Asian","Attorney General's Departments","EO","Male","60","60","28360","28200"
"In post","2023","Asian","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6/G7","Female","385","355","57960","54800"
"In post","2023","Asian","Attorney General's Departments","G6/G7","Male","170","165","58680","56290"
"In post","2023","Asian","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","Female","110","105","37950","38760"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","Male","65","65","36950","38040"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","Female","15","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Female","50","45","27760","28370"
"In post","2023","Asian","Cabinet Office","EO","Male","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6/G7","Female","115","115","61030","59940"
"In post","2023","Asian","Cabinet Office","G6/G7","Male","130","130","61280","58150"
"In post","2023","Asian","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","Female","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SEO/HEO","Female","215","210","34350","32960"
"In post","2023","Asian","Cabinet Office","SEO/HEO","Male","175","175","34760","33020"
"In post","2023","Asian","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
