"Status","Year","Age","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","AA/AO","70","65","25800","26400"
"In post","2023","16-19","London","EO","50","50","28820","29280"
"In post","2023","16-19","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","AA/AO","1085","1050","22780","22500"
"In post","2023","16-19","Outside London","EO","110","110","26250","25850"
"In post","2023","16-19","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outside London","Unknown","75","75","20820","19460"
"In post","2023","16-19","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","EO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","30","30","19370","17400"
"In post","2023","20-29","London","AA/AO","2345","2310","28030","26400"
"In post","2023","20-29","London","EO","4630","4590","30570","29890"
"In post","2023","20-29","London","G6/G7","3775","3765","57220","55500"
"In post","2023","20-29","London","SCS level","15","15","80080","74940"
"In post","2023","20-29","London","SEO/HEO","11425","11390","37870","36950"
"In post","2023","20-29","London","Unknown","505","495","29520","28580"
"In post","2023","20-29","Outside London","AA/AO","24960","24295","24340","22520"
"In post","2023","20-29","Outside London","EO","16370","16165","27930","27890"
"In post","2023","20-29","Outside London","G6/G7","1535","1525","53570","52360"
"In post","2023","20-29","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","SEO/HEO","14215","14140","35010","34380"
"In post","2023","20-29","Outside London","Unknown","4470","4370","25740","24570"
"In post","2023","20-29","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Overseas","EO","20","20","33670","34160"
"In post","2023","20-29","Overseas","G6/G7","45","45","53680","53530"
"In post","2023","20-29","Overseas","SEO/HEO","260","260","37340","34220"
"In post","2023","20-29","Overseas","Unknown","5","5","[c]","[c]"
