"Status","Year","Age","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","London","EO","15","15","28670","28720"
"In post","2023","16-19","Analysis","Outside London","AA/AO","15","15","22780","23340"
"In post","2023","16-19","Analysis","Outside London","EO","25","25","25260","24840"
"In post","2023","16-19","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Outside London","AA/AO","55","50","22390","22520"
"In post","2023","16-19","Digital, Data & Technology","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Outside London","AA/AO","20","20","21290","21690"
"In post","2023","16-19","Digital, Data & Technology","Outside London","EO","10","10","27060","27370"
"In post","2023","16-19","Digital, Data & Technology","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Finance","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","AA/AO","30","25","21370","20070"
"In post","2023","16-19","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Outside London","AA/AO","10","10","22120","22220"
"In post","2023","16-19","Human Resources","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Legal","London","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Legal","Outside London","AA/AO","50","50","21010","20980"
"In post","2023","16-19","Legal","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","AA/AO","45","45","26740","26400"
"In post","2023","16-19","No function","London","EO","20","20","28820","29280"
"In post","2023","16-19","No function","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Outside London","AA/AO","765","735","23150","22500"
"In post","2023","16-19","No function","Outside London","EO","50","50","26370","25850"
"In post","2023","16-19","No function","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Outside London","Unknown","30","25","19990","19090"
"In post","2023","16-19","No function","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","AA/AO","10","10","20240","19460"
"In post","2023","16-19","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Outside London","Unknown","20","20","18750","18280"
"In post","2023","16-19","Property","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Outside London","AA/AO","25","25","21470","22520"
"In post","2023","16-19","Property","Outside London","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Outside London","Unknown","15","15","23210","22750"
"In post","2023","16-19","Security","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","EO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","AA/AO","85","80","22490","22180"
"In post","2023","16-19","Unknown","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","30","30","19370","17400"
"In post","2023","20-29","Analysis","London","AA/AO","60","60","24420","23500"
"In post","2023","20-29","Analysis","London","EO","215","215","29280","29280"
"In post","2023","20-29","Analysis","London","G6/G7","380","380","57610","55740"
"In post","2023","20-29","Analysis","London","SEO/HEO","1275","1270","38280","37690"
"In post","2023","20-29","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Outside London","AA/AO","90","90","21960","21380"
"In post","2023","20-29","Analysis","Outside London","EO","205","200","26610","26310"
"In post","2023","20-29","Analysis","Outside London","G6/G7","105","105","52740","51460"
"In post","2023","20-29","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Outside London","SEO/HEO","1365","1360","34800","33990"
"In post","2023","20-29","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","London","AA/AO","10","10","24850","25280"
"In post","2023","20-29","Commercial","London","EO","40","40","29940","29890"
"In post","2023","20-29","Commercial","London","G6/G7","90","90","61130","56200"
"In post","2023","20-29","Commercial","London","SEO/HEO","230","230","36500","35600"
"In post","2023","20-29","Commercial","Outside London","AA/AO","105","105","23490","22320"
"In post","2023","20-29","Commercial","Outside London","EO","200","195","26810","27080"
"In post","2023","20-29","Commercial","Outside London","G6/G7","40","40","59920","56200"
"In post","2023","20-29","Commercial","Outside London","SEO/HEO","460","460","35280","33990"
"In post","2023","20-29","Commercial","Outside London","Unknown","30","30","31730","28490"
"In post","2023","20-29","Commercial","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","London","AA/AO","20","20","25360","25760"
"In post","2023","20-29","Communications","London","EO","85","85","29240","29080"
"In post","2023","20-29","Communications","London","G6/G7","45","45","56160","55760"
"In post","2023","20-29","Communications","London","SEO/HEO","430","430","39050","38610"
"In post","2023","20-29","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Outside London","AA/AO","20","20","22070","22220"
"In post","2023","20-29","Communications","Outside London","EO","70","70","26800","26900"
"In post","2023","20-29","Communications","Outside London","G6/G7","10","10","52530","52590"
"In post","2023","20-29","Communications","Outside London","SEO/HEO","160","155","34430","33950"
"In post","2023","20-29","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","London","AA/AO","55","55","25820","25610"
"In post","2023","20-29","Counter Fraud","London","EO","300","295","32050","32520"
"In post","2023","20-29","Counter Fraud","London","G6/G7","15","15","63450","65230"
"In post","2023","20-29","Counter Fraud","London","SEO/HEO","140","140","39260","39450"
"In post","2023","20-29","Counter Fraud","Outside London","AA/AO","245","240","22750","22520"
"In post","2023","20-29","Counter Fraud","Outside London","EO","875","865","28160","28120"
"In post","2023","20-29","Counter Fraud","Outside London","G6/G7","30","30","57140","56870"
"In post","2023","20-29","Counter Fraud","Outside London","SEO/HEO","340","335","35390","34700"
"In post","2023","20-29","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","London","AA/AO","105","100","26900","26920"
"In post","2023","20-29","Debt","London","EO","5","5","[c]","[c]"
"In post","2023","20-29","Debt","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Outside London","AA/AO","1410","1360","22320","22520"
"In post","2023","20-29","Debt","Outside London","EO","165","165","27940","28120"
"In post","2023","20-29","Debt","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Outside London","SEO/HEO","30","30","34930","34400"
"In post","2023","20-29","Digital, Data & Technology","London","AA/AO","25","25","24080","24520"
"In post","2023","20-29","Digital, Data & Technology","London","EO","165","165","29770","29750"
"In post","2023","20-29","Digital, Data & Technology","London","G6/G7","165","165","57780","56430"
"In post","2023","20-29","Digital, Data & Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","London","SEO/HEO","620","620","38540","38410"
"In post","2023","20-29","Digital, Data & Technology","Outside London","AA/AO","215","215","21920","21690"
"In post","2023","20-29","Digital, Data & Technology","Outside London","EO","895","880","27520","27650"
"In post","2023","20-29","Digital, Data & Technology","Outside London","G6/G7","225","225","53950","51790"
"In post","2023","20-29","Digital, Data & Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Outside London","SEO/HEO","1650","1645","36100","34700"
