"Status","Year","Parent_department","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","AO","135","125","22330","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","EO","100","90","27620","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","G7","205","185","53900","53200"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","HEO","45","45","32590","31740"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Outside London","SEO","25","25","39700","38940"
"In post","2023","Attorney General's Departments","East of England","Outside London","AO","130","115","23550","24480"
"In post","2023","Attorney General's Departments","East of England","Outside London","EO","115","105","28960","28850"
"In post","2023","Attorney General's Departments","East of England","Outside London","G6","15","15","75570","75780"
"In post","2023","Attorney General's Departments","East of England","Outside London","G7","215","195","59070","58820"
"In post","2023","Attorney General's Departments","East of England","Outside London","HEO","40","40","34180","34360"
"In post","2023","Attorney General's Departments","East of England","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Outside London","SEO","40","40","40580","40800"
"In post","2023","Attorney General's Departments","London","London","AA","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","London","AO","410","385","24240","24480"
"In post","2023","Attorney General's Departments","London","London","EO","805","770","29240","28410"
"In post","2023","Attorney General's Departments","London","London","G6","955","875","70260","68280"
"In post","2023","Attorney General's Departments","London","London","G7","1640","1545","57160","54230"
"In post","2023","Attorney General's Departments","London","London","HEO","435","420","36030","34450"
"In post","2023","Attorney General's Departments","London","London","SCS level","265","255","88840","82560"
"In post","2023","Attorney General's Departments","London","London","SEO","315","305","41430","40800"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","AO","95","85","22340","22870"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","EO","80","75","27890","27150"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","G6","10","10","72010","70530"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","G7","140","130","54940","55290"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","HEO","35","30","32500","31740"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Outside London","SEO","25","25","39550","38940"
