"Status","Year","Ethnicity","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","15","15","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","35","30","38350","36890"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","35","35","23480","22150"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","35","35","28860","29080"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
