"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","5","5","[c]","[c]"
"In post","2023","16-19","Communications","10","10","[c]","[c]"
"In post","2023","16-19","Counter Fraud","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","35","35","24570","23800"
"In post","2023","16-19","Economics","30","30","26350","25320"
"In post","2023","16-19","Finance","35","35","22060","21600"
"In post","2023","16-19","Human Resources","25","25","23150","22220"
"In post","2023","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","905","865","23690","22520"
"In post","2023","16-19","Operational Research","5","5","[c]","[c]"
"In post","2023","16-19","Other","70","70","20380","19460"
"In post","2023","16-19","Policy","25","25","25020","25460"
"In post","2023","16-19","Project Delivery","20","20","23260","20620"
"In post","2023","16-19","Property","40","40","23450","22750"
"In post","2023","16-19","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","110","110","19650","18780"
"In post","2023","16-19","Security","5","5","[c]","[c]"
"In post","2023","16-19","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","5","5","[c]","[c]"
"In post","2023","16-19","Tax","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","95","95","23750","22520"
"In post","2023","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","1130","1125","35270","32500"
"In post","2023","20-29","Communications","820","815","36370","35410"
"In post","2023","20-29","Corporate Finance","10","10","38570","35760"
"In post","2023","20-29","Counter Fraud","1220","1205","29520","28120"
"In post","2023","20-29","Digital, Data and Technology","3515","3490","36200","34400"
"In post","2023","20-29","Economics","1235","1230","40440","36710"
"In post","2023","20-29","Finance","1425","1410","33420","31270"
"In post","2023","20-29","Geography","100","100","27560","27610"
"In post","2023","20-29","Human Resources","1535","1520","32780","30700"
"In post","2023","20-29","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2023","20-29","Intelligence Analysis","500","500","32980","31310"
"In post","2023","20-29","Internal Audit","55","55","34570","33930"
"In post","2023","20-29","International Trade","605","600","40830","41550"
"In post","2023","20-29","Knowledge and Information Management","295","290","31600","29840"
"In post","2023","20-29","Legal","1105","1100","38790","35410"
"In post","2023","20-29","Medicine","130","120","34040","32930"
"In post","2023","20-29","Operational Delivery","41530","40680","27230","25990"
"In post","2023","20-29","Operational Research","370","365","36540","35410"
"In post","2023","20-29","Other","2115","2085","29180","28120"
"In post","2023","20-29","Planning","30","30","37130","35380"
"In post","2023","20-29","Planning Inspectors","10","10","32020","28430"
"In post","2023","20-29","Policy","8360","8325","40710","38470"
"In post","2023","20-29","Project Delivery","2540","2525","35760","33990"
"In post","2023","20-29","Property","845","835","30720","29400"
"In post","2023","20-29","Psychology","400","395","30170","30940"
"In post","2023","20-29","Science and Engineering","2840","2830","31260","30650"
"In post","2023","20-29","Security","1105","1105","30520","28410"
"In post","2023","20-29","Social Research","620","615","38470","37730"
"In post","2023","20-29","Statistics","1025","1020","37170","35000"
"In post","2023","20-29","Tax","2895","2850","31200","28130"
"In post","2023","20-29","Unknown","6735","6670","33560","30440"
"In post","2023","20-29","Veterinarian","20","20","31430","30320"
"In post","2023","30-39","Commercial","1785","1740","44390","40620"
"In post","2023","30-39","Communications","1200","1165","44950","42510"
"In post","2023","30-39","Corporate Finance","35","35","50540","41490"
"In post","2023","30-39","Counter Fraud","1735","1660","31320","28130"
"In post","2023","30-39","Digital, Data and Technology","5635","5535","43910","41200"
"In post","2023","30-39","Economics","510","490","57920","57970"
"In post","2023","30-39","Finance","2145","2075","43380","40600"
"In post","2023","30-39","Geography","130","130","34550","34370"
"In post","2023","30-39","Human Resources","2710","2605","39390","36590"
"In post","2023","30-39","Inspector of Education and Training","150","150","59130","52750"
"In post","2023","30-39","Intelligence Analysis","825","800","35250","32160"
"In post","2023","30-39","Internal Audit","140","135","44430","42700"
"In post","2023","30-39","International Trade","630","620","50820","55370"
"In post","2023","30-39","Knowledge and Information Management","500","485","37110","34170"
"In post","2023","30-39","Legal","2995","2880","50370","52020"
"In post","2023","30-39","Medicine","560","490","47990","40590"
"In post","2023","30-39","Operational Delivery","55665","52395","30040","28120"
"In post","2023","30-39","Operational Research","340","325","46410","45390"
"In post","2023","30-39","Other","2960","2795","35520","32160"
"In post","2023","30-39","Planning","70","65","41390","40300"
"In post","2023","30-39","Planning Inspectors","70","65","51420","48660"
"In post","2023","30-39","Policy","9950","9715","50610","53050"
"In post","2023","30-39","Project Delivery","4270","4160","44470","41780"
"In post","2023","30-39","Property","965","940","37290","34300"
"In post","2023","30-39","Psychology","630","610","36960","32420"
