"Status","Year","Disability","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","London","Female","140","135","47640","43650"
"In post","2023","Declared disabled","Finance","London","Male","120","120","48970","43760"
"In post","2023","Declared disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Outside London","Female","615","550","35180","34170"
"In post","2023","Declared disabled","Finance","Outside London","Male","390","370","38150","34970"
"In post","2023","Declared disabled","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","Outside London","Female","260","230","25820","22150"
"In post","2023","Declared disabled","Grants Management","Outside London","Male","145","140","25460","22150"
"In post","2023","Declared disabled","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","London","Female","330","315","49000","43650"
"In post","2023","Declared disabled","Human Resources","London","Male","130","130","47040","41960"
"In post","2023","Declared disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Outside London","Female","1010","940","36880","34170"
"In post","2023","Declared disabled","Human Resources","Outside London","Male","550","535","36160","33990"
"In post","2023","Declared disabled","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","Female","40","35","43850","41660"
"In post","2023","Declared disabled","Internal Audit","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","London","Female","310","285","50860","54100"
"In post","2023","Declared disabled","Legal","London","Male","170","165","52740","53550"
"In post","2023","Declared disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Outside London","Female","610","550","40410","35000"
"In post","2023","Declared disabled","Legal","Outside London","Male","290","270","45110","49050"
"In post","2023","Declared disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","London","Female","4085","3815","39430","33830"
"In post","2023","Declared disabled","No function","London","Male","2550","2465","42160","36830"
"In post","2023","Declared disabled","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Outside London","Female","21580","18920","29020","28120"
"In post","2023","Declared disabled","No function","Outside London","Male","12585","11825","30420","28120"
"In post","2023","Declared disabled","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Overseas","Female","55","55","48510","43640"
"In post","2023","Declared disabled","No function","Overseas","Male","90","90","50030","47380"
"In post","2023","Declared disabled","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","Female","50","45","30650","28120"
"In post","2023","Declared disabled","No function","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","London","Female","310","300","48370","43760"
"In post","2023","Declared disabled","Project Delivery","London","Male","200","195","53630","48570"
"In post","2023","Declared disabled","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Outside London","Female","1035","970","40450","37740"
"In post","2023","Declared disabled","Project Delivery","Outside London","Male","820","795","42560","41000"
"In post","2023","Declared disabled","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","London","Female","60","60","47000","39790"
"In post","2023","Declared disabled","Property","London","Male","70","65","49290","43470"
"In post","2023","Declared disabled","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Outside London","Female","325","305","35220","33830"
"In post","2023","Declared disabled","Property","Outside London","Male","325","315","36980","34300"
"In post","2023","Declared disabled","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","London","Female","65","65","43650","38700"
"In post","2023","Declared disabled","Security","London","Male","90","90","45870","42690"
"In post","2023","Declared disabled","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Outside London","Female","215","205","31790","28120"
"In post","2023","Declared disabled","Security","Outside London","Male","475","460","33210","30200"
"In post","2023","Declared disabled","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","London","Female","180","175","40300","32960"
"In post","2023","Declared disabled","Unknown","London","Male","90","90","42370","39150"
"In post","2023","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Outside London","Female","1350","1260","39850","34730"
"In post","2023","Declared disabled","Unknown","Outside London","Male","1060","1035","40570","36980"
"In post","2023","Declared disabled","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","London","Female","1255","1190","51950","49420"
"In post","2023","Declared non-disabled","Analysis","London","Male","1530","1515","53440","53290"
"In post","2023","Declared non-disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Outside London","Female","1660","1540","40810","38470"
"In post","2023","Declared non-disabled","Analysis","Outside London","Male","1850","1810","43470","39890"
"In post","2023","Declared non-disabled","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","London","Female","560","545","56800","55740"
"In post","2023","Declared non-disabled","Commercial","London","Male","595","590","64650","56620"
"In post","2023","Declared non-disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Outside London","Female","1885","1785","43360","39840"
"In post","2023","Declared non-disabled","Commercial","Outside London","Male","1540","1520","47790","42620"
"In post","2023","Declared non-disabled","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","London","Female","730","705","50330","46600"
"In post","2023","Declared non-disabled","Communications","London","Male","495","495","51740","46450"
"In post","2023","Declared non-disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Outside London","Female","785","720","38860","37570"
"In post","2023","Declared non-disabled","Communications","Outside London","Male","480","470","39420","36990"
"In post","2023","Declared non-disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","London","Female","1210","1120","37230","32540"
"In post","2023","Declared non-disabled","Counter Fraud","London","Male","1175","1145","41390","39450"
"In post","2023","Declared non-disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Outside London","Female","4975","4455","31700","28130"
"In post","2023","Declared non-disabled","Counter Fraud","Outside London","Male","4060","3895","34220","30120"
"In post","2023","Declared non-disabled","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","London","Female","225","200","29510","26920"
"In post","2023","Declared non-disabled","Debt","London","Male","140","130","30210","26920"
"In post","2023","Declared non-disabled","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Outside London","Female","2725","2330","24460","22520"
"In post","2023","Declared non-disabled","Debt","Outside London","Male","1650","1585","24670","22520"
"In post","2023","Declared non-disabled","Debt","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","London","Female","1300","1255","49600","45560"
"In post","2023","Declared non-disabled","Digital, Data & Technology","London","Male","1985","1965","52560","51390"
"In post","2023","Declared non-disabled","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Outside London","Female","5025","4755","40570","38300"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Outside London","Male","8385","8230","43010","39960"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Overseas","Female","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Overseas","Male","35","35","41380","39650"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","London","Female","1000","950","49210","43760"
"In post","2023","Declared non-disabled","Finance","London","Male","1035","1020","52830","48350"
"In post","2023","Declared non-disabled","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Outside London","Female","3820","3505","37200","34170"
"In post","2023","Declared non-disabled","Finance","Outside London","Male","2675","2610","41250","38040"
"In post","2023","Declared non-disabled","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Overseas","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","London","Female","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","London","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Grants Management","Outside London","Female","815","725","26170","22150"
"In post","2023","Declared non-disabled","Grants Management","Outside London","Male","565","550","26280","22150"
"In post","2023","Declared non-disabled","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","London","Female","1315","1255","48830","43780"
"In post","2023","Declared non-disabled","Human Resources","London","Male","625","615","50330","45410"
"In post","2023","Declared non-disabled","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Outside London","Female","4365","4085","37260","34170"
"In post","2023","Declared non-disabled","Human Resources","Outside London","Male","2700","2635","37010","34170"
"In post","2023","Declared non-disabled","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Overseas","Female","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","London","Female","60","55","54040","51400"
"In post","2023","Declared non-disabled","Internal Audit","London","Male","70","70","53840","53200"
"In post","2023","Declared non-disabled","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Outside London","Female","205","190","45370","43280"
"In post","2023","Declared non-disabled","Internal Audit","Outside London","Male","145","140","48980","48780"
"In post","2023","Declared non-disabled","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","London","Female","2330","2150","53500","54100"
"In post","2023","Declared non-disabled","Legal","London","Male","1290","1260","56730","56760"
"In post","2023","Declared non-disabled","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Outside London","Female","3560","3230","43730","42180"
"In post","2023","Declared non-disabled","Legal","Outside London","Male","1860","1795","47590","52060"
"In post","2023","Declared non-disabled","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","London","Female","21570","20185","42340","36180"
"In post","2023","Declared non-disabled","No function","London","Male","17195","16830","45190","39850"
"In post","2023","Declared non-disabled","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Outside London","Female","96780","86130","30120","28120"
"In post","2023","Declared non-disabled","No function","Outside London","Male","69350","66680","32510","28880"
"In post","2023","Declared non-disabled","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Overseas","Female","625","625","52230","50850"
"In post","2023","Declared non-disabled","No function","Overseas","Male","905","905","52400","50970"
"In post","2023","Declared non-disabled","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","No function","Unknown","Female","205","195","32070","28120"
"In post","2023","Declared non-disabled","No function","Unknown","Male","215","205","33260","28120"
"In post","2023","Declared non-disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","London","Female","1670","1590","55040","54710"
"In post","2023","Declared non-disabled","Project Delivery","London","Male","1385","1360","58590","56040"
"In post","2023","Declared non-disabled","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Outside London","Female","5405","5085","42410","39890"
"In post","2023","Declared non-disabled","Project Delivery","Outside London","Male","5575","5450","46020","42510"
"In post","2023","Declared non-disabled","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Overseas","Female","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Overseas","Male","55","55","62720","62330"
"In post","2023","Declared non-disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
