"Status","Year","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","100","100","19430","18780"
"In post","2023","16-19","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","5","5","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","45","45","23520","22510"
"In post","2023","16-19","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","25","20","22230","22520"
"In post","2023","16-19","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","20","20","22810","22520"
"In post","2023","16-19","Buckinghamshire","5","5","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","10","10","25260","24070"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","30","30","22940","22520"
"In post","2023","16-19","Central Hampshire","10","10","27730","30520"
"In post","2023","16-19","Central Valleys","5","5","[c]","[c]"
"In post","2023","16-19","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","10","10","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","20","20","23050","22520"
"In post","2023","16-19","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","20","15","27420","26920"
"In post","2023","16-19","Darlington","10","10","[c]","[c]"
"In post","2023","16-19","Devon CC","15","15","22310","19770"
"In post","2023","16-19","Dorset","5","5","[c]","[c]"
"In post","2023","16-19","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Durham","25","25","25100","23230"
"In post","2023","16-19","East Ayrshire and North Ayrshire mainland","15","15","20520","21090"
"In post","2023","16-19","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","5","5","[c]","[c]"
"In post","2023","16-19","East Kent","45","45","23400","22400"
"In post","2023","16-19","East Riding of Yorkshire","10","10","[c]","[c]"
"In post","2023","16-19","East Surrey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Sussex CC","5","5","[c]","[c]"
"In post","2023","16-19","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Flintshire and Wrexham","15","15","20700","19840"
"In post","2023","16-19","Glasgow City","40","35","22720","22520"
"In post","2023","16-19","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester North West","10","10","25630","26260"
"In post","2023","16-19","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester South West","15","15","23560","22520"
"In post","2023","16-19","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Harrow and Hillingdon","15","15","26990","26400"
"In post","2023","16-19","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Heart of Essex","10","10","[c]","[c]"
"In post","2023","16-19","Hertfordshire CC","5","5","[c]","[c]"
"In post","2023","16-19","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Isle of Wight","5","5","[c]","[c]"
"In post","2023","16-19","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2023","16-19","Kingston upon Hull, City of","5","5","[c]","[c]"
"In post","2023","16-19","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancaster and Wyre","5","5","[c]","[c]"
"In post","2023","16-19","Leeds","50","50","24180","22870"
"In post","2023","16-19","Leicester","5","5","[c]","[c]"
"In post","2023","16-19","Leicestershire CC and Rutland","15","15","24000","23230"
"In post","2023","16-19","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire CC","15","15","24840","23230"
"In post","2023","16-19","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Liverpool","40","35","23110","22520"
"In post","2023","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Manchester","20","20","23010","21690"
"In post","2023","16-19","Medway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mid Lancashire","15","10","23390","23230"
"In post","2023","16-19","Milton Keynes","35","35","24250","23800"
"In post","2023","16-19","Monmouthshire and Newport","20","20","22720","21780"
"In post","2023","16-19","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Nottinghamshire","5","5","[c]","[c]"
"In post","2023","16-19","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North and West Norfolk","5","5","[c]","[c]"
"In post","2023","16-19","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2023","16-19","Nottingham","30","30","23870","22520"
"In post","2023","16-19","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","16-19","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Peterborough","10","5","[c]","[c]"
"In post","2023","16-19","Plymouth","20","20","21840","21570"
"In post","2023","16-19","Portsmouth","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Borders","[c]","[c]","[c]","[c]"
