"Status","Year","Disability","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","London","Heterosexual / straight","125","125","54120","45540"
"In post","2023","Declared disabled","Commercial","London","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Unknown","35","35","52680","55570"
"In post","2023","Declared disabled","Commercial","Outside London","Heterosexual / straight","490","465","43710","39530"
"In post","2023","Declared disabled","Commercial","Outside London","LGBO","55","55","39060","34170"
"In post","2023","Declared disabled","Commercial","Outside London","Undeclared","60","60","41460","40600"
"In post","2023","Declared disabled","Commercial","Outside London","Unknown","70","70","46060","40240"
"In post","2023","Declared disabled","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Heterosexual / straight","85","85","49060","46470"
"In post","2023","Declared disabled","Communications","London","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outside London","Heterosexual / straight","150","145","38050","35940"
"In post","2023","Declared disabled","Communications","Outside London","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outside London","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","Heterosexual / straight","175","160","34490","32520"
"In post","2023","Declared disabled","Counter Fraud","London","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Outside London","Heterosexual / straight","855","765","29610","28120"
"In post","2023","Declared disabled","Counter Fraud","Outside London","LGBO","110","105","29880","28120"
"In post","2023","Declared disabled","Counter Fraud","Outside London","Undeclared","130","115","27840","28120"
"In post","2023","Declared disabled","Counter Fraud","Outside London","Unknown","85","70","30030","28120"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
