"Status","Year","Profession_of_post","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Outside London","Heterosexual / straight","110","105","46970","42250"
"In post","2023","Commercial","East Midlands (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","Heterosexual / straight","180","170","45420","40620"
"In post","2023","Commercial","East of England","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","Unknown","45","45","47370","41050"
"In post","2023","Commercial","London","London","Heterosexual / straight","1115","1090","60730","56000"
"In post","2023","Commercial","London","London","LGBO","75","75","58510","56000"
"In post","2023","Commercial","London","London","Undeclared","135","130","57090","55770"
"In post","2023","Commercial","London","London","Unknown","385","380","52900","48460"
"In post","2023","Commercial","North East (England)","Outside London","Heterosexual / straight","135","135","45460","39090"
"In post","2023","Commercial","North East (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Commercial","North West (England)","Outside London","Heterosexual / straight","665","650","45670","39860"
"In post","2023","Commercial","North West (England)","Outside London","LGBO","40","40","40170","38470"
"In post","2023","Commercial","North West (England)","Outside London","Undeclared","50","45","43470","39110"
"In post","2023","Commercial","North West (England)","Outside London","Unknown","180","175","44930","38470"
"In post","2023","Commercial","Northern Ireland","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Scotland","Outside London","Heterosexual / straight","245","235","42470","38050"
"In post","2023","Commercial","Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Commercial","Scotland","Outside London","Unknown","125","120","42380","35330"
"In post","2023","Commercial","South East (England)","Outside London","Heterosexual / straight","450","435","44090","40750"
"In post","2023","Commercial","South East (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Commercial","South East (England)","Outside London","Undeclared","30","30","45270","42700"
"In post","2023","Commercial","South East (England)","Outside London","Unknown","60","60","41920","33910"
"In post","2023","Commercial","South West (England)","Outside London","Heterosexual / straight","1315","1260","43920","42620"
"In post","2023","Commercial","South West (England)","Outside London","LGBO","55","50","39860","35000"
"In post","2023","Commercial","South West (England)","Outside London","Undeclared","160","150","42960","42620"
"In post","2023","Commercial","South West (England)","Outside London","Unknown","225","220","42770","35490"
"In post","2023","Commercial","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Outside London","Heterosexual / straight","315","295","38140","34170"
"In post","2023","Commercial","Wales","Outside London","LGBO","10","10","[c]","[c]"
"In post","2023","Commercial","Wales","Outside London","Undeclared","55","50","33660","31960"
"In post","2023","Commercial","Wales","Outside London","Unknown","40","40","38750","38470"
"In post","2023","Commercial","West Midlands (England)","Outside London","Heterosexual / straight","255","250","47410","39620"
"In post","2023","Commercial","West Midlands (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Outside London","Unknown","95","90","47150","41590"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","Heterosexual / straight","570","545","44560","38470"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","LGBO","50","45","41300","37680"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","Undeclared","60","55","45330","41590"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","Unknown","105","100","49980","50160"
"In post","2023","Communications","East Midlands (England)","Outside London","Heterosexual / straight","80","75","41370","37710"
"In post","2023","Communications","East Midlands (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Communications","East of England","Outside London","Heterosexual / straight","50","50","36900","34300"
"In post","2023","Communications","East of England","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2023","Communications","East of England","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Communications","London","London","Heterosexual / straight","1225","1195","49810","46110"
"In post","2023","Communications","London","London","LGBO","145","145","47370","44520"
"In post","2023","Communications","London","London","Undeclared","135","135","49150","45250"
"In post","2023","Communications","London","London","Unknown","490","485","47890","43750"
"In post","2023","Communications","North East (England)","Outside London","Heterosexual / straight","85","80","38250","35160"
"In post","2023","Communications","North East (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Outside London","Undeclared","10","10","[c]","[c]"
