"Status","Year","Disability","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","EO","35","30","30490","30090"
"In post","2023","Declared disabled","Analysis","London","G6/G7","120","115","63730","61530"
"In post","2023","Declared disabled","Analysis","London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","SEO/HEO","185","175","39360","38950"
"In post","2023","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Outside London","AA/AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Outside London","EO","60","60","26880","26310"
"In post","2023","Declared disabled","Analysis","Outside London","G6/G7","200","185","54730","51770"
"In post","2023","Declared disabled","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Outside London","SEO/HEO","400","380","36580","37760"
"In post","2023","Declared disabled","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","EO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","G6/G7","80","80","64860","62000"
"In post","2023","Declared disabled","Commercial","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","SEO/HEO","65","65","38830","40600"
"In post","2023","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Outside London","AA/AO","40","40","23790","22500"
"In post","2023","Declared disabled","Commercial","Outside London","EO","60","55","26880","27080"
"In post","2023","Declared disabled","Commercial","Outside London","G6/G7","165","160","62830","62570"
"In post","2023","Declared disabled","Commercial","Outside London","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Outside London","SEO/HEO","285","275","37630","37940"
"In post","2023","Declared disabled","Commercial","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","G6/G7","35","35","62440","61240"
"In post","2023","Declared disabled","Communications","London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","London","SEO/HEO","75","75","41340","41300"
"In post","2023","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outside London","EO","45","40","27990","27470"
"In post","2023","Declared disabled","Communications","Outside London","G6/G7","35","30","56290","54260"
"In post","2023","Declared disabled","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Outside London","SEO/HEO","115","110","37380","37510"
"In post","2023","Declared disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","AA/AO","70","60","25540","25610"
"In post","2023","Declared disabled","Counter Fraud","London","EO","145","140","32530","32520"
"In post","2023","Declared disabled","Counter Fraud","London","G6/G7","35","35","66940","65230"
"In post","2023","Declared disabled","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","London","SEO/HEO","125","120","41230","39790"
"In post","2023","Declared disabled","Counter Fraud","Outside London","AA/AO","320","275","22560","21690"
"In post","2023","Declared disabled","Counter Fraud","Outside London","EO","875","780","28510","28120"
"In post","2023","Declared disabled","Counter Fraud","Outside London","G6/G7","90","85","59310","57970"
"In post","2023","Declared disabled","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Outside London","SEO/HEO","540","505","36530","35000"
"In post","2023","Declared disabled","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","London","AA/AO","40","35","26440","26920"
"In post","2023","Declared disabled","Debt","London","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Outside London","AA/AO","655","565","22110","21690"
"In post","2023","Declared disabled","Debt","Outside London","EO","160","145","28360","28120"
"In post","2023","Declared disabled","Debt","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Outside London","SEO/HEO","45","40","36970","34700"
"In post","2023","Declared disabled","Debt","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","London","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","London","EO","70","70","30980","30770"
"In post","2023","Declared disabled","Digital, Data & Technology","London","G6/G7","220","215","62700","60970"
"In post","2023","Declared disabled","Digital, Data & Technology","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","London","SEO/HEO","230","225","39870","39790"
"In post","2023","Declared disabled","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Outside London","AA/AO","90","85","22330","22220"
"In post","2023","Declared disabled","Digital, Data & Technology","Outside London","EO","430","405","27950","28090"
"In post","2023","Declared disabled","Digital, Data & Technology","Outside London","G6/G7","430","420","57120","55110"
"In post","2023","Declared disabled","Digital, Data & Technology","Outside London","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Outside London","SEO/HEO","1045","1005","37430","37300"
"In post","2023","Declared disabled","Digital, Data & Technology","Outside London","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
