"Status","Year","Region_ITL2","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","AA/AO","Female","705","620","25220","24480"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","AA/AO","Male","540","525","27490","25760"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","EO","Female","860","765","29920","30120"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","EO","Male","625","595","30240","30120"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","G6/G7","Female","250","235","61640","60050"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","G6/G7","Male","205","200","62930","61440"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","SCS level","Male","20","20","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","Female","575","545","39750","38680"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","Male","525","515","40190","39190"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","Unknown","Female","360","335","30290","29050"
"In post","2023","Bedfordshire and Hertfordshire","Outside London","Unknown","Male","85","80","30260","26840"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","Female","1400","1260","25210","23920"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","Male","1590","1560","29740","29100"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","Female","1245","1145","29750","28540"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","Male","985","960","32250","29570"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","Female","385","355","61560","58820"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","Male","460","435","61660","58880"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","Female","30","25","[c]","[c]"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","Male","40","40","101060","93650"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","Female","1270","1200","38540","37420"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","Male","1225","1190","40840","40660"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Female","485","455","30950","29050"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Male","185","180","29440","25300"
"In post","2023","Cheshire","Outside London","AA/AO","Female","760","665","24650","22330"
"In post","2023","Cheshire","Outside London","AA/AO","Male","540","520","26460","24270"
"In post","2023","Cheshire","Outside London","EO","Female","730","670","30610","28480"
"In post","2023","Cheshire","Outside London","EO","Male","560","545","32270","32540"
"In post","2023","Cheshire","Outside London","G6/G7","Female","205","195","58450","57640"
"In post","2023","Cheshire","Outside London","G6/G7","Male","170","165","58610","56450"
"In post","2023","Cheshire","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Cheshire","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Cheshire","Outside London","SEO/HEO","Female","580","550","39320","38640"
"In post","2023","Cheshire","Outside London","SEO/HEO","Male","570","555","41090","40660"
"In post","2023","Cheshire","Outside London","Unknown","Female","290","270","29300","26840"
"In post","2023","Cheshire","Outside London","Unknown","Male","80","75","30720","26840"
"In post","2023","Cornwall and Isles of Scilly","Outside London","AA/AO","Female","360","300","21770","21690"
"In post","2023","Cornwall and Isles of Scilly","Outside London","AA/AO","Male","280","270","21740","21690"
"In post","2023","Cornwall and Isles of Scilly","Outside London","EO","Female","325","285","27950","28120"
"In post","2023","Cornwall and Isles of Scilly","Outside London","EO","Male","240","230","27730","28120"
"In post","2023","Cornwall and Isles of Scilly","Outside London","G6/G7","Female","40","35","62690","59120"
"In post","2023","Cornwall and Isles of Scilly","Outside London","G6/G7","Male","55","55","58670","56450"
"In post","2023","Cornwall and Isles of Scilly","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cornwall and Isles of Scilly","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cornwall and Isles of Scilly","Outside London","SEO/HEO","Female","150","140","36060","34170"
"In post","2023","Cornwall and Isles of Scilly","Outside London","SEO/HEO","Male","150","145","36610","34300"
"In post","2023","Cornwall and Isles of Scilly","Outside London","Unknown","Female","90","75","28930","25300"
"In post","2023","Cornwall and Isles of Scilly","Outside London","Unknown","Male","35","30","30520","26500"
"In post","2023","Cumbria","Outside London","AA/AO","Female","605","510","22680","22150"
"In post","2023","Cumbria","Outside London","AA/AO","Male","465","450","24310","22150"
"In post","2023","Cumbria","Outside London","EO","Female","345","300","27140","26850"
"In post","2023","Cumbria","Outside London","EO","Male","180","175","28710","27330"
"In post","2023","Cumbria","Outside London","G6/G7","Female","70","70","56110","51870"
"In post","2023","Cumbria","Outside London","G6/G7","Male","65","60","58110","56450"
"In post","2023","Cumbria","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Cumbria","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cumbria","Outside London","SEO/HEO","Female","220","205","34790","34170"
"In post","2023","Cumbria","Outside London","SEO/HEO","Male","160","155","36660","36920"
"In post","2023","Cumbria","Outside London","Unknown","Female","195","180","31970","29050"
"In post","2023","Cumbria","Outside London","Unknown","Male","165","160","43000","40590"
