"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Angus and Dundee City","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barking & Dagenham and Havering","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnet","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","110","105","23650","22390"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","80","75","26910","27080"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","80","75","72370","70710"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","195","190","54900","55110"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","30","30","103400","96910"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","280","270","33440","33830"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","345","330","42450","42700"
"In post","2023","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","125","125","43970","42620"
"In post","2023","Commercial","Bedford","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedford","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire","SEO/HEO","SEO","10","10","40960","39470"
"In post","2023","Commercial","Bexley and Greenwich","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bexley and Greenwich","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Birmingham","EO","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Birmingham","G6/G7","G6","15","10","81120","76860"
"In post","2023","Commercial","Birmingham","G6/G7","G7","30","30","63470","65500"
"In post","2023","Commercial","Birmingham","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Birmingham","SEO/HEO","HEO","30","30","32800","31660"
"In post","2023","Commercial","Birmingham","SEO/HEO","SEO","25","25","41040","39430"
"In post","2023","Commercial","Birmingham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Blackpool","EO","EO","10","10","27990","28120"
"In post","2023","Commercial","Blackpool","G6/G7","G6","15","15","70410","66860"
"In post","2023","Commercial","Blackpool","G6/G7","G7","35","35","56670","56000"
"In post","2023","Commercial","Blackpool","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Blackpool","SEO/HEO","HEO","45","45","33970","34170"
"In post","2023","Commercial","Blackpool","SEO/HEO","SEO","60","60","38630","38470"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bournemouth, Christchurch and Poole","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bradford","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Breckland and South Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bridgend and Neath Port Talbot","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Brighton and Hove","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","G6/G7","G7","20","20","59190","56000"
"In post","2023","Commercial","Bristol, City of","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Bristol, City of","SEO/HEO","HEO","20","20","32100","31350"
"In post","2023","Commercial","Bristol, City of","SEO/HEO","SEO","35","35","40230","38940"
"In post","2023","Commercial","Bristol, City of","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Buckinghamshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Buckinghamshire","EO","EO","15","15","28900","29080"
"In post","2023","Commercial","Buckinghamshire","G6/G7","G7","10","10","62640","67480"
"In post","2023","Commercial","Buckinghamshire","SEO/HEO","HEO","15","15","36290","35990"
"In post","2023","Commercial","Buckinghamshire","SEO/HEO","SEO","30","30","44340","44210"
"In post","2023","Commercial","Calderdale and Kirklees","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","EO","EO","10","10","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Commercial","Cambridgeshire CC","SEO/HEO","HEO","20","20","34970","35400"
"In post","2023","Commercial","Cambridgeshire CC","SEO/HEO","SEO","25","20","43130","42700"
"In post","2023","Commercial","Camden and City of London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Camden and City of London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","EO","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","15","15","33520","34170"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","20","20","40470","38470"
"In post","2023","Commercial","Cardiff and Vale of Glamorgan","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Bedfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","EO","EO","40","40","26710","27140"
"In post","2023","Commercial","Central Hampshire","G6/G7","G6","10","10","76950","74010"
"In post","2023","Commercial","Central Hampshire","G6/G7","G7","30","30","59680","61300"
"In post","2023","Commercial","Central Hampshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Central Hampshire","SEO/HEO","HEO","50","45","33390","33990"
"In post","2023","Commercial","Central Hampshire","SEO/HEO","SEO","55","55","42140","42700"
"In post","2023","Commercial","Central Valleys","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Valleys","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Central Valleys","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire East","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cheshire West and Chester","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Chorley and West Lancashire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","AA/AO","AO","10","10","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","EO","EO","10","10","33130","32240"
"In post","2023","Commercial","City of Edinburgh","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Commercial","City of Edinburgh","SEO/HEO","HEO","15","15","37630","38770"
"In post","2023","Commercial","City of Edinburgh","SEO/HEO","SEO","10","10","48830","48410"
"In post","2023","Commercial","Clackmannanshire and Fife","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Clackmannanshire and Fife","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Coventry","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Coventry","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Coventry","G6/G7","G7","15","15","56520","52060"
"In post","2023","Commercial","Coventry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Coventry","SEO/HEO","HEO","5","5","[c]","[c]"
