"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","10","10","42370","42060"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Luton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Warrington","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","East Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","East Cumbria","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Cumbria","West Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","West Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Derby","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Nottingham","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Nottingham","G6/G7","20","20","54520","51770"
