"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnet","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","AA/AO","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","EO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","EO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","G6/G7","Female","30","30","60590","60360"
"In post","2023","Attorney General's Departments","Berkshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","AA/AO","Female","90","85","22770","22870"
"In post","2023","Attorney General's Departments","Birmingham","AA/AO","Male","30","30","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","EO","Female","85","80","27670","26900"
"In post","2023","Attorney General's Departments","Birmingham","EO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","G6/G7","Female","155","140","54900","53750"
"In post","2023","Attorney General's Departments","Birmingham","G6/G7","Male","80","80","58190","56450"
"In post","2023","Attorney General's Departments","Birmingham","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","SEO/HEO","Female","45","45","35630","35000"
"In post","2023","Attorney General's Departments","Birmingham","SEO/HEO","Male","25","25","[c]","[c]"
