"Status","Year","Parent_department","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","20","15","54290","53750"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","AO","30","25","23920","24480"
"In post","2023","Attorney General's Departments","Berkshire","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","G7","45","40","59510","57590"
"In post","2023","Attorney General's Departments","Berkshire","HEO","15","15","33710","32820"
"In post","2023","Attorney General's Departments","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SEO","10","10","40780","40800"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","AO","120","115","22830","22870"
"In post","2023","Attorney General's Departments","Birmingham","EO","110","105","27680","26900"
"In post","2023","Attorney General's Departments","Birmingham","G6","20","20","73370","69810"
"In post","2023","Attorney General's Departments","Birmingham","G7","215","200","54420","53750"
"In post","2023","Attorney General's Departments","Birmingham","HEO","40","40","32230","31490"
"In post","2023","Attorney General's Departments","Birmingham","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","SEO","30","30","39550","38940"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","AO","30","30","23760","24480"
"In post","2023","Attorney General's Departments","Brighton and Hove","EO","30","30","29100","28200"
"In post","2023","Attorney General's Departments","Brighton and Hove","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","G7","40","40","59400","58820"
"In post","2023","Attorney General's Departments","Brighton and Hove","HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bristol, City of","AO","45","40","22230","22870"
"In post","2023","Attorney General's Departments","Bristol, City of","EO","40","40","28040","27400"
"In post","2023","Attorney General's Departments","Bristol, City of","G6","20","15","70480","71050"
