"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","North East (England)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","EO","Heterosexual / straight","55","50","27900","27030"
"In post","2023","Attorney General's Departments","North East (England)","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","EO","Unknown","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","G6/G7","Heterosexual / straight","110","105","56200","55290"
"In post","2023","Attorney General's Departments","North East (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","G6/G7","Unknown","30","30","56510","56450"
"In post","2023","Attorney General's Departments","North East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SEO/HEO","Heterosexual / straight","50","45","35820","35000"
"In post","2023","Attorney General's Departments","North East (England)","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","AA/AO","Heterosexual / straight","180","170","22610","22870"
"In post","2023","Attorney General's Departments","North West (England)","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","AA/AO","Unknown","40","35","22860","22870"
