"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Heterosexual / straight","470","460","46030","42170"
"In post","2023","Asian","Analysis","London","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","London","Undeclared","35","30","47530","46280"
"In post","2023","Asian","Analysis","London","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Heterosexual / straight","40","40","40130","35000"
"In post","2023","Asian","Analysis","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
