"Status","Year","Ethnicity","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","G6","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","EO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","SEO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","G6","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","EO","10","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
