"Status","Year","Disability","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","East Ayrshire and North Ayrshire mainland","10","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Nottingham","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Suffolk CC","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Westminster","20","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Tyneside","25","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
