"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","London","London","15","15","37970","37510"
"In post","2023","Attorney General's Departments","Commercial","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Yorkshire and The Humber","Outside London","10","10","43230","38940"
"In post","2023","Attorney General's Departments","Communications","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East of England","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","London","London","65","65","43150","40540"
"In post","2023","Attorney General's Departments","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","London","London","10","10","47560","40360"
"In post","2023","Attorney General's Departments","Counter Fraud","London","London","235","230","47500","41400"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","London","London","100","100","49900","46030"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North East (England)","Outside London","10","10","46640","51870"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Wales","Outside London","15","15","41010","38940"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Outside London","45","45","38180","33810"
"In post","2023","Attorney General's Departments","Finance","East Midlands (England)","Outside London","30","30","26100","26900"
"In post","2023","Attorney General's Departments","Finance","East of England","Outside London","15","15","27610","24480"
"In post","2023","Attorney General's Departments","Finance","London","London","95","90","39790","31640"
"In post","2023","Attorney General's Departments","Finance","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","North West (England)","Outside London","15","15","30730","27420"
"In post","2023","Attorney General's Departments","Finance","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","South West (England)","Outside London","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Finance","Yorkshire and The Humber","Outside London","40","40","32030","27440"
"In post","2023","Attorney General's Departments","Human Resources","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","London","London","140","135","43220","37850"
"In post","2023","Attorney General's Departments","Human Resources","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","North West (England)","Outside London","45","45","35510","31490"
"In post","2023","Attorney General's Departments","Human Resources","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","Wales","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Human Resources","West Midlands (England)","Outside London","10","10","37180","31490"
"In post","2023","Attorney General's Departments","Human Resources","Yorkshire and The Humber","Outside London","35","30","40630","33810"
"In post","2023","Attorney General's Departments","Intelligence Analysis","London","London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","London","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Internal Audit","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","London","London","50","45","45110","39700"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Knowledge and Information Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
