"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","15","15","23830","23340"
"In post","2023","16-19","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","15","15","24590","24840"
"In post","2023","16-19","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","45","45","22710","22520"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","10","10","24260","21690"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","10","5","22960","22520"
"In post","2023","16-19","Finance","Ministry of Defence","20","20","20100","19460"
"In post","2023","16-19","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
