"Status","Year","Age","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","London","Female","65","65","27030","26920"
"In post","2023","16-19","London","Male","60","55","27260","26400"
"In post","2023","16-19","Outside London","Female","625","600","23140","22520"
"In post","2023","16-19","Outside London","Male","655","635","22850","22520"
"In post","2023","16-19","Unknown","Female","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Male","25","25","[c]","[c]"
"In post","2023","20-29","London","Female","13095","13000","37980","35240"
"In post","2023","20-29","London","Male","9600","9560","39020","35760"
"In post","2023","20-29","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Outside London","Female","34265","33415","28380","27650"
"In post","2023","20-29","Outside London","Male","27285","27080","28860","28120"
"In post","2023","20-29","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Overseas","Female","200","200","38460","34220"
"In post","2023","20-29","Overseas","Male","140","140","39750","35660"
"In post","2023","20-29","Unknown","Female","145","140","31700","29860"
"In post","2023","20-29","Unknown","Male","400","400","31610","29880"
"In post","2023","30-39","London","Female","13620","13035","47700","44140"
"In post","2023","30-39","London","Male","11580","11495","48280","45350"
"In post","2023","30-39","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Outside London","Female","48215","44175","32940","30320"
"In post","2023","30-39","Outside London","Male","41315","40885","34360","32000"
"In post","2023","30-39","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Overseas","Female","460","460","50190","53050"
"In post","2023","30-39","Overseas","Male","565","565","50020","52400"
"In post","2023","30-39","Unknown","Female","130","125","37730","34380"
"In post","2023","30-39","Unknown","Male","440","440","39680","38710"
"In post","2023","40-49","London","Female","12385","11410","49550","43980"
"In post","2023","40-49","London","Male","10075","9970","52010","46470"
"In post","2023","40-49","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Outside London","Female","53315","48065","34950","30440"
"In post","2023","40-49","Outside London","Male","40995","40405","37430","33830"
"In post","2023","40-49","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Overseas","Female","440","435","58210","58050"
"In post","2023","40-49","Overseas","Male","620","620","56700","56100"
"In post","2023","40-49","Unknown","Female","175","170","38970","33830"
"In post","2023","40-49","Unknown","Male","375","370","44720","41260"
"In post","2023","50-59","London","Female","12665","11975","44680","38680"
"In post","2023","50-59","London","Male","11145","10990","49470","43420"
"In post","2023","50-59","Outside London","Female","63960","58045","33230","28120"
"In post","2023","50-59","Outside London","Male","52210","50700","37300","33170"
"In post","2023","50-59","Overseas","Female","330","330","58840","57720"
