"Status","Year","Region_london","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","London","AA/AO","Female","Heterosexual / straight","4075","3625","26580","25610"
"In post","2023","London","AA/AO","Female","LGBO","205","195","28740","26630"
"In post","2023","London","AA/AO","Female","Undeclared","620","540","26140","25610"
"In post","2023","London","AA/AO","Female","Unknown","1750","1585","27070","26400"
"In post","2023","London","AA/AO","Male","Heterosexual / straight","3220","3120","28370","26400"
"In post","2023","London","AA/AO","Male","LGBO","180","175","27940","25610"
"In post","2023","London","AA/AO","Male","Undeclared","360","345","27010","25610"
"In post","2023","London","AA/AO","Male","Unknown","1395","1350","28620","26760"
"In post","2023","London","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","EO","Female","Heterosexual / straight","7715","7165","31350","31310"
"In post","2023","London","EO","Female","LGBO","390","375","31200","30720"
"In post","2023","London","EO","Female","Undeclared","1080","985","31090","30910"
"In post","2023","London","EO","Female","Unknown","2500","2330","31270","31310"
"In post","2023","London","EO","Male","Heterosexual / straight","5210","5060","31770","31450"
"In post","2023","London","EO","Male","LGBO","365","360","31360","31210"
"In post","2023","London","EO","Male","Undeclared","725","690","31740","31450"
"In post","2023","London","EO","Male","Unknown","1825","1780","31370","30930"
"In post","2023","London","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","G6/G7","Female","Heterosexual / straight","10795","10260","61820","59530"
"In post","2023","London","G6/G7","Female","LGBO","730","715","60690","57830"
"In post","2023","London","G6/G7","Female","Undeclared","1285","1235","62020","59520"
"In post","2023","London","G6/G7","Female","Unknown","2615","2495","61850","60000"
"In post","2023","London","G6/G7","Male","Heterosexual / straight","9465","9325","63000","61310"
"In post","2023","London","G6/G7","Male","LGBO","1210","1200","61420","59290"
"In post","2023","London","G6/G7","Male","Undeclared","1445","1415","63070","61430"
"In post","2023","London","G6/G7","Male","Unknown","2425","2380","63230","61680"
"In post","2023","London","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","SCS level","Female","Heterosexual / straight","1610","1520","89340","81600"
"In post","2023","London","SCS level","Female","LGBO","100","100","88570","78840"
"In post","2023","London","SCS level","Female","Undeclared","145","140","88900","82440"
"In post","2023","London","SCS level","Female","Unknown","335","320","94350","84200"
"In post","2023","London","SCS level","Male","Heterosexual / straight","1530","1510","95040","85510"
"In post","2023","London","SCS level","Male","LGBO","175","170","90870","82420"
"In post","2023","London","SCS level","Male","Undeclared","165","165","94560","84970"
"In post","2023","London","SCS level","Male","Unknown","345","335","98530","91350"
"In post","2023","London","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","SEO/HEO","Female","Heterosexual / straight","12410","12005","40250","39990"
"In post","2023","London","SEO/HEO","Female","LGBO","1035","1015","39610","39790"
"In post","2023","London","SEO/HEO","Female","Undeclared","1570","1510","40130","40260"
"In post","2023","London","SEO/HEO","Female","Unknown","3955","3865","38850","39450"
"In post","2023","London","SEO/HEO","Male","Heterosexual / straight","10100","9965","40920","40800"
"In post","2023","London","SEO/HEO","Male","LGBO","1115","1100","39630","39750"
"In post","2023","London","SEO/HEO","Male","Undeclared","1475","1440","41270","41360"
"In post","2023","London","SEO/HEO","Male","Unknown","3620","3575","39790","39790"
"In post","2023","London","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","London","Unknown","Female","Heterosexual / straight","1305","1235","35400","33820"
"In post","2023","London","Unknown","Female","LGBO","70","70","36840","34820"
"In post","2023","London","Unknown","Female","Undeclared","120","115","36990","34210"
"In post","2023","London","Unknown","Female","Unknown","280","255","31940","29290"
"In post","2023","London","Unknown","Male","Heterosexual / straight","455","445","36300","33820"
"In post","2023","London","Unknown","Male","LGBO","55","55","37460","34820"
"In post","2023","London","Unknown","Male","Undeclared","60","55","38940","36680"
"In post","2023","London","Unknown","Male","Unknown","115","110","31690","29300"
"In post","2023","London","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","London","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Outside London","AA/AO","Female","Heterosexual / straight","43835","37660","23120","22330"
"In post","2023","Outside London","AA/AO","Female","LGBO","3000","2845","24790","22520"
"In post","2023","Outside London","AA/AO","Female","Undeclared","5350","4455","22800","22220"
"In post","2023","Outside London","AA/AO","Female","Unknown","17425","14950","23210","22520"
"In post","2023","Outside London","AA/AO","Male","Heterosexual / straight","34310","32840","25120","22520"
"In post","2023","Outside London","AA/AO","Male","LGBO","2260","2180","23830","22500"
"In post","2023","Outside London","AA/AO","Male","Undeclared","4035","3800","24740","22500"
