"Status","Year","Profession_of_post","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East Midlands (England)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Outside London","EO","20","15","27920","28120"
"In post","2023","Commercial","East Midlands (England)","Outside London","G6/G7","45","45","63420","57550"
"In post","2023","Commercial","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East Midlands (England)","Outside London","SEO/HEO","70","70","39840","39490"
"In post","2023","Commercial","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","EO","20","20","27300","27470"
"In post","2023","Commercial","East of England","Outside London","G6/G7","65","60","65770","65500"
"In post","2023","Commercial","East of England","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","Outside London","SEO/HEO","165","155","38840","39860"
"In post","2023","Commercial","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","London","AA/AO","50","50","25510","25200"
"In post","2023","Commercial","London","London","EO","115","110","30780","30950"
"In post","2023","Commercial","London","London","G6/G7","760","750","66490","66270"
"In post","2023","Commercial","London","London","SCS level","165","160","120850","117940"
"In post","2023","Commercial","London","London","SEO/HEO","615","605","40330","40870"
"In post","2023","Commercial","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","EO","20","15","27360","26080"
"In post","2023","Commercial","North East (England)","Outside London","G6/G7","55","55","61930","58030"
"In post","2023","Commercial","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Outside London","SEO/HEO","100","100","37410","37640"
"In post","2023","Commercial","North West (England)","Outside London","AA/AO","30","25","22180","21690"
"In post","2023","Commercial","North West (England)","Outside London","EO","85","80","27500","27650"
"In post","2023","Commercial","North West (England)","Outside London","G6/G7","270","265","63960","65500"
"In post","2023","Commercial","North West (England)","Outside London","SCS level","20","20","96060","87160"
"In post","2023","Commercial","North West (England)","Outside London","SEO/HEO","515","500","37560","38470"
"In post","2023","Commercial","North West (England)","Outside London","Unknown","20","20","40760","42250"
"In post","2023","Commercial","Northern Ireland","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","G6/G7","10","10","78870","85900"
"In post","2023","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","SEO/HEO","15","15","59390","58690"
"In post","2023","Commercial","Scotland","Outside London","AA/AO","55","55","26100","28490"
"In post","2023","Commercial","Scotland","Outside London","EO","55","55","29130","27140"
"In post","2023","Commercial","Scotland","Outside London","G6/G7","90","85","64230","65500"
"In post","2023","Commercial","Scotland","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Commercial","Scotland","Outside London","SEO/HEO","165","165","38720","38470"
"In post","2023","Commercial","Scotland","Outside London","Unknown","15","10","38040","33690"
"In post","2023","Commercial","South East (England)","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Commercial","South East (England)","Outside London","EO","105","100","27620","27470"
"In post","2023","Commercial","South East (England)","Outside London","G6/G7","120","120","64290","65410"
"In post","2023","Commercial","South East (England)","Outside London","SCS level","10","10","112380","112720"
"In post","2023","Commercial","South East (England)","Outside London","SEO/HEO","310","305","39400","40220"
"In post","2023","Commercial","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","South West (England)","Outside London","AA/AO","135","130","23540","22320"
"In post","2023","Commercial","South West (England)","Outside London","EO","135","130","26860","27080"
"In post","2023","Commercial","South West (England)","Outside London","G6/G7","410","395","60350","56000"
"In post","2023","Commercial","South West (England)","Outside London","SCS level","45","45","106840","99300"
"In post","2023","Commercial","South West (England)","Outside London","SEO/HEO","885","845","38170","37300"
"In post","2023","Commercial","South West (England)","Outside London","Unknown","140","140","43740","42620"
"In post","2023","Commercial","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Outside London","AA/AO","45","40","21670","22500"
"In post","2023","Commercial","Wales","Outside London","EO","70","65","27340","27250"
"In post","2023","Commercial","Wales","Outside London","G6/G7","70","65","59340","56000"
"In post","2023","Commercial","Wales","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Wales","Outside London","SEO/HEO","225","220","37030","37420"
"In post","2023","Commercial","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","West Midlands (England)","Outside London","AA/AO","25","25","22370","21780"
"In post","2023","Commercial","West Midlands (England)","Outside London","EO","60","60","26890","26350"
"In post","2023","Commercial","West Midlands (England)","Outside London","G6/G7","110","110","66140","65890"
"In post","2023","Commercial","West Midlands (England)","Outside London","SCS level","10","10","134430","128000"
"In post","2023","Commercial","West Midlands (England)","Outside London","SEO/HEO","175","170","38130","37680"
"In post","2023","Commercial","West Midlands (England)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","AA/AO","40","35","21680","21690"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","EO","65","60","27300","28100"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","G6/G7","260","250","62130","63190"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","SCS level","15","15","106030","102010"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","SEO/HEO","405","390","37290","37700"
"In post","2023","Commercial","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Communications","East Midlands (England)","Outside London","EO","15","15","28340","27470"
"In post","2023","Communications","East Midlands (England)","Outside London","G6/G7","25","25","56820","57970"
"In post","2023","Communications","East Midlands (England)","Outside London","SEO/HEO","75","75","37700","37680"
"In post","2023","Communications","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East of England","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2023","Communications","East of England","Outside London","EO","15","15","27990","28550"
"In post","2023","Communications","East of England","Outside London","G6/G7","10","10","56130","56850"
"In post","2023","Communications","East of England","Outside London","SEO/HEO","40","40","37050","37010"
"In post","2023","Communications","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","London","London","AA/AO","30","30","25340","25450"
"In post","2023","Communications","London","London","EO","160","155","30150","29660"
"In post","2023","Communications","London","London","G6/G7","685","665","61360","59510"
"In post","2023","Communications","London","London","SCS level","90","90","90780","85000"
"In post","2023","Communications","London","London","SEO/HEO","1030","1015","41090","41360"
"In post","2023","Communications","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North East (England)","Outside London","AA/AO","10","10","22160","22370"
"In post","2023","Communications","North East (England)","Outside London","EO","20","15","27050","26940"
"In post","2023","Communications","North East (England)","Outside London","G6/G7","15","15","59600","57970"
