"Status","Year","Age","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Defence Science and Technology Laboratory","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Heterosexual / straight","45","40","21860","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AA/AO","Heterosexual / straight","40","40","20750","20750"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","AA/AO","Unknown","30","25","20280","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Education Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","FCDO Services","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","FCDO Services","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Forestry and Land Scotland","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Government Legal Department","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Government Legal Department","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Courts and Tribunals Service","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","AA/AO","Heterosexual / straight","150","150","26670","28880"
"In post","2023","16-19","HM Prison and Probation Service","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","AA/AO","Unknown","95","90","26870","28880"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Prison and Probation Service","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","Heterosexual / straight","75","75","22700","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","Unknown","65","65","22790","22520"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","EO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury (excl. agencies)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Health and Safety Executive","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","AA/AO","Unknown","90","85","23020","22400"
"In post","2023","16-19","Home Office","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Home Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","EO","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal Aid Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Maritime and Coastguard Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Medicines and Healthcare Products Regulatory Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Met Office","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Met Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence (excl. agencies)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice (excl. agencies)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Savings and Investments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Gas and Electricity Markets","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Qualifications and Examinations Regulation","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of Rail and Road","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Public Guardian","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Planning Inspectorate","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Royal Fleet Auxiliary","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Rural Payments Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Courts and Tribunals Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Government (excl. agencies)","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Prison Service","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scottish Public Pensions Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Serious Fraud Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Security Scotland","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Student Awards Agency for Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Submarine Delivery Agency","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The Insolvency Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","The National Archives","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Export Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Health Security Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","UK Statistics Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
