"Status","Year","Age","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","40-49","SEO/HEO","Heterosexual / straight","25280","24365","39070","38470"
"In post","2023","40-49","SEO/HEO","LGBO","1255","1230","38970","38470"
"In post","2023","40-49","SEO/HEO","Undeclared","2900","2800","39080","38670"
"In post","2023","40-49","SEO/HEO","Unknown","5160","4970","39100","38470"
"In post","2023","40-49","Unknown","Heterosexual / straight","4255","3960","34680","33340"
"In post","2023","40-49","Unknown","LGBO","255","245","34430","30810"
"In post","2023","40-49","Unknown","Undeclared","395","370","36020","38290"
"In post","2023","40-49","Unknown","Unknown","995","930","36180","33690"
"In post","2023","50-59","AA/AO","Heterosexual / straight","23895","21645","23900","22400"
"In post","2023","50-59","AA/AO","LGBO","855","800","24280","22520"
"In post","2023","50-59","AA/AO","Undeclared","3710","3310","23910","22400"
"In post","2023","50-59","AA/AO","Unknown","8145","7240","24170","22520"
"In post","2023","50-59","EO","Heterosexual / straight","25290","23590","29240","28120"
"In post","2023","50-59","EO","LGBO","925","880","29270","28120"
"In post","2023","50-59","EO","Undeclared","4015","3740","29270","28120"
"In post","2023","50-59","EO","Unknown","6690","6140","29870","28120"
"In post","2023","50-59","G6/G7","Heterosexual / straight","15630","15260","62140","59890"
"In post","2023","50-59","G6/G7","LGBO","620","605","63070","61640"
"In post","2023","50-59","G6/G7","Undeclared","1985","1925","62720","60350"
"In post","2023","50-59","G6/G7","Unknown","3075","2970","62760","60800"
"In post","2023","50-59","SCS level","Heterosexual / straight","2060","2020","96120","87300"
"In post","2023","50-59","SCS level","LGBO","110","110","94280","85720"
"In post","2023","50-59","SCS level","Undeclared","185","180","93480","85200"
"In post","2023","50-59","SCS level","Unknown","405","395","102750","95260"
"In post","2023","50-59","SEO/HEO","Heterosexual / straight","28025","27160","39470","38580"
"In post","2023","50-59","SEO/HEO","LGBO","1000","975","39130","38120"
"In post","2023","50-59","SEO/HEO","Undeclared","4185","4045","39780","39150"
"In post","2023","50-59","SEO/HEO","Unknown","4985","4820","39910","39270"
